"uuid","geopoint.lon","geopoint.lat","eventdate","elevation","elev_units","coords.x1","coords.x2","optional"
"0013b682-e81d-467a-b9d7-57cd866aa3ea",-79.441853,39.971908,"1948-04-24",382.46,"meters",-79.441853,39.971908,TRUE
"004e550a-56b3-4c82-982e-ecf9fd1639ab",-75.47222222222,41.83777777777,"2010-04-25",616.83,"meters",-75.47222222222,41.83777777777,TRUE
"00698cb5-65ce-4f84-ad9d-8b9f37339fee",-75.3705,40.6259,"1840",108.6,"meters",-75.3705,40.6259,TRUE
"008c1ef1-5b13-43f0-9ee0-788c588c4d4b",-88.1517,34.60389,"1986-04-13",159.39,"meters",-88.1517,34.60389,TRUE
"01a1eb45-bdb9-441f-a30b-9e65870f519a",-72.9247,41.3114,"1885-05-16",8.46,"meters",-72.9247,41.3114,TRUE
"01c70cfa-8046-4b36-8f90-da1c232c0c18",-76.043283,40.255254,"1950-05-06",258.68,"meters",-76.043283,40.255254,TRUE
"01d4dff8-4eff-4762-9456-f0998ae9200e",-75.118883,40.909471,"1912-05-11",126.28,"meters",-75.118883,40.909471,TRUE
"0221e83f-f68e-47f4-9a7d-1b80f519b5b3",-76.463002,37.209869,"1992-05-18",5.81,"meters",-76.463002,37.209869,TRUE
"022a35d9-c4ae-42c5-90de-75a34ee4d526",-72.8571,41.6741,"1903-04-10",57.96,"meters",-72.8571,41.6741,TRUE
"023f7abc-0d03-4939-ac06-33282f7011e5",-71.9834,41.867,"1916-05-10",144.96,"meters",-71.9834,41.867,TRUE
"0284c208-9900-43e9-95c8-84cca2647306",-78.028985,41.427346,"2013-05-19",281.2,"meters",-78.028985,41.427346,TRUE
"02dec145-9ed8-435b-89f1-6a0d27d6cf38",-80.056447,41.063951,"1896-00-00",395.89,"meters",-80.056447,41.063951,TRUE
"0364efa8-c8a0-4a49-8b06-f06be4fb2aaf",-78.78311,40.628771,"1953-05-02",534.42,"meters",-78.78311,40.628771,TRUE
"03e4eaa9-6675-47f7-89ad-8d1b22d4d652",-88.40552,41.66889,"2006-04-20",193.25,"meters",-88.40552,41.66889,TRUE
"0453c258-6240-4b0c-9eed-cc7833ff911f",-76.38135,39.872324,"1906-05-19",55.36,"meters",-76.38135,39.872324,TRUE
"04dc67e2-c612-4f6b-b2f5-47bbf63e9db8",-75.340735,40.579544,"1819-00-00",87.15,"meters",-75.340735,40.579544,TRUE
"05045e97-ff38-4d03-8b6b-7b9d0133c566",-72.7944,41.5367,"1912-05-17",50.61,"meters",-72.7944,41.5367,TRUE
"053baf41-ee0e-486f-86b9-d81c2acfb507",-76.548751,37.477987,"1977-04-10",25.16,"meters",-76.548751,37.477987,TRUE
"05e3e747-2cbc-4af8-81a6-6c773f4638a4",-77.139757,38.966828,"1905-04-17",24.95,"meters",-77.139757,38.966828,TRUE
"066dc3d7-1482-4c70-91da-d80b862ac333",-73.2120705,44.4758816,"1947-06-01",59.68,"meters",-73.2120705,44.4758816,TRUE
"069b2efe-525f-45b3-a9c0-18bb92f1badb",-75.627889,40.469816,"1936-05-16",292.16,"meters",-75.627889,40.469816,TRUE
"06b13291-6422-431a-93d2-6aaced126ea5",-78.186241,40.7136,"1868-05-19",318.79,"meters",-78.186241,40.7136,TRUE
"06fccd36-2002-41d5-91e0-72995d3db67d",-81.7857,36.1196,"2019-03-30",1242.19,"meters",-81.7857,36.1196,TRUE
"07a8b5e3-19da-4e58-925f-7da577364d47",-77.2878,38.9622,NA,57.89,"meters",-77.2878,38.9622,TRUE
"07de5ad6-470d-4762-b995-c1333d01b15d",-78.20234,40.706854,"1985-05-19",306.22,"meters",-78.20234,40.706854,TRUE
"083e7527-7d66-4626-9337-a0e35fb349be",-89.665,46.152,"2015-05-15",504.73,"meters",-89.665,46.152,TRUE
"085c8d98-e367-4d33-8055-136d96f35e00",-78.238623,39.950986,"1939-05-13",364.35,"meters",-78.238623,39.950986,TRUE
"08dda59f-2250-445a-8bc4-5a09d1bbe5dd",-91.496367,41.89428,"1969-05-03",255.63,"meters",-91.496367,41.89428,TRUE
"094229bf-b7b4-489e-9aa8-4a676d192634",-73.1340781,41.1886577,"1895-05-07",5.73,"meters",-73.1340781,41.1886577,TRUE
"09cde89c-50e4-4bec-82b2-d730d90c1a66",-79.395035,39.995809,"1947-04-26",519.29,"meters",-79.395035,39.995809,TRUE
"0a8f3b3c-5c4d-4119-9e8e-37e8eae63941",-75.104046,40.131101,"1925-04-26",104,"meters",-75.104046,40.131101,TRUE
"0ac37c7d-9d38-4027-8e9a-3b8152d54264",-72.88,41.6049,"1915-05-08",44.35,"meters",-72.88,41.6049,TRUE
"0af1f760-c62c-418d-b9f5-15d26de5ba28",-75.611853,40.752052,"1923-06-03",131.98,"meters",-75.611853,40.752052,TRUE
"0b16b7fc-a58e-4bc0-946f-c8bb97509042",-88.074788,41.801141,"1917-04-01/1917-04-30",205.06,"meters",-88.074788,41.801141,TRUE
"0b2b3c65-07b5-4e5a-9e50-20532f17724a",-75.621393,40.99916,"1957-05-11",484.67,"meters",-75.621393,40.99916,TRUE
"0bfd12a8-6286-4564-9ce5-1319cf4c16c1",-72.8571,41.6741,"1903-04-10",57.96,"meters",-72.8571,41.6741,TRUE
"0c1949b6-aa31-4ef6-95ac-4ab72023e36f",-72.3320274,42.5042553,"1931-04-30",314.77,"meters",-72.3320274,42.5042553,TRUE
"0c1fadb9-15a3-483b-bdf1-06b42acf8eb7",-79.98504,41.58978,"2005-05-13",397.4,"meters",-79.98504,41.58978,TRUE
"0c62117c-7022-4183-885f-b69dd428f688",-89.93321,42.784753,"2018-05-16",271.24,"meters",-89.93321,42.784753,TRUE
"0d1c4886-2692-4c33-b91e-fcba52239b81",-79.879051,41.660511,"1985-05-01",431.77,"meters",-79.879051,41.660511,TRUE
"0d5fd2ee-9b33-44ec-b01b-62b124b2b5df",-75.883529,40.408698,"1941-04-27",215.81,"meters",-75.883529,40.408698,TRUE
"0d8e08b0-b754-42d9-a2d9-4e8c6fab9d82",-72.6161995,42.2042618,"1925-05-14",58.28,"meters",-72.6161995,42.2042618,TRUE
"0de69a93-ffb0-4f98-b7a0-799a01eab63c",-72.9316,41.407,"1858-07-07",125.03,"meters",-72.9316,41.407,TRUE
"0e202788-ea82-432b-b7fb-9acf2d52ceed",-79.083889,39.744444,"2003-05-19",630.98,"meters",-79.083889,39.744444,TRUE
"0e6568b2-205f-4b5b-8b74-9a00121058b4",-88.51725,41.89602,"2006-04-18",265.59,"meters",-88.51725,41.89602,TRUE
"0f9a312b-8fbb-4436-8328-8de674736437",-72.717,41.367,"1906-00-00",58.38,"meters",-72.717,41.367,TRUE
"10516365-1051-4330-95ff-42b82bd32be7",-75.508829,40.473126,"1912-05-11",175.24,"meters",-75.508829,40.473126,TRUE
"10ce31b1-9429-454d-956e-5f5f5421a16a",-79.179167,39.6615,"1997-05-18",664.65,"meters",-79.179167,39.6615,TRUE
"118a685c-1c6d-4c21-84e5-da1083359e91",-80.679073,41.004914,"1993-04-28",311.93,"meters",-80.679073,41.004914,TRUE
"12132d8c-474b-43b5-b043-d47ded20d23e",-73.411509,40.853432,"2008-04-20",63.17,"meters",-73.411509,40.853432,TRUE
"12966bf6-dce5-4a12-9fcc-072a18101d38",-82.56198,36.05673,"2011-04-14",965.3,"meters",-82.56198,36.05673,TRUE
"13059555-1c6c-4802-a6fb-8cb6b83b3f06",-80.103813,40.674098,"1913-05-28",310.57,"meters",-80.103813,40.674098,TRUE
"1363577e-38e5-4600-af87-52467f46972b",-71.698924,41.39581,"2018-05-17",17.56,"meters",-71.698924,41.39581,TRUE
"1375cd9a-5a5f-400b-848b-44115a5d58c0",-75.304898,40.353993,"1880-04-00",104.96,"meters",-75.304898,40.353993,TRUE
"1385b897-b84c-416d-a46b-4dc03bd005f1",-78.924453,40.34089,"1874-05-16",353.53,"meters",-78.924453,40.34089,TRUE
"13d1fc96-5797-4146-91b8-36d5e2fbc840",-79.25,40.3667,"1906-05-19",461.15,"meters",-79.25,40.3667,TRUE
"143b807f-d413-414e-a2c6-01a0e7ec1826",-80.073279,42.107756,"1879-04-29",222.74,"meters",-80.073279,42.107756,TRUE
"14ddab20-6b42-47dd-b9e6-b784691ef8a4",-87.77299,42.15108,"2006-06-28",208.42,"meters",-87.77299,42.15108,TRUE
"14e11360-110d-4ba3-a334-b197261b0086",-78.04633,40.24572,"1948-05-02",443.73,"meters",-78.04633,40.24572,TRUE
"155e707b-418e-4cea-86d9-470287fd4ccb",-78.073143,41.746571,"1926-05-22",483.74,"meters",-78.073143,41.746571,TRUE
"169c1f23-490e-4c3c-b374-72551cb6aa0b",-75.303602,40.587098,"1942-04-25",166.61,"meters",-75.303602,40.587098,TRUE
"16a283dc-a24e-4ff7-9866-d9d2c21359c5",-73.196,41.1932,"1909-05-07",9.37,"meters",-73.196,41.1932,TRUE
"16b6e9de-c5b8-4c3c-b9e9-50e22a9fa7a3",-79.966867,40.542904,"1886-04-22",254.33,"meters",-79.966867,40.542904,TRUE
"173e71b8-66d1-4341-b62c-8ee048439ef4",-75.237072,40.492628,"2003-04-27",204.03,"meters",-75.237072,40.492628,TRUE
"17724756-6f41-473c-ab17-236f84f7db6a",-80.368061,41.553958,"1924-05-30",308.49,"meters",-80.368061,41.553958,TRUE
"17ca892f-dd6f-4046-bd09-59cd81112809",-92.475663,42.725726,"1968-04-29",279.12,"meters",-92.475663,42.725726,TRUE
"17e37219-ccb0-4756-852a-474205ac7f6d",-92.89,45.04,"2012-05-01",291.83,"meters",-92.89,45.04,TRUE
"17f79f36-731c-4c61-9bb3-eb70ec2b7d9d",-85.4868667,42.96385,"2014-05-13",189.69,"meters",-85.4868667,42.96385,TRUE
"1867c2d1-ad83-4a8a-85a0-7017b5c3035d",-75.627889,40.469816,"1936-05-16",292.16,"meters",-75.627889,40.469816,TRUE
"187f6548-b6cc-4c92-b316-2f407aa5264d",-78.38195,38.593733,"1935-05-19",1085.88,"meters",-78.38195,38.593733,TRUE
"18927c91-658e-45cb-bfe2-64f0096e529a",-74.0236111111,41.4069444444,"1992-04-24",402.38,"meters",-74.0236111111,41.4069444444,TRUE
"18e2af19-c9a3-464d-8691-7203b1c4454f",-76.132731,39.880104,"1934-05-05",200.46,"meters",-76.132731,39.880104,TRUE
