"uuid","geopoint.lon","geopoint.lat","eventdate","elevation","elev_units","coords.x1","coords.x2","optional"
"003c79b9-722a-4825-865d-7f6c0c5d53ed",-90.685322,38.232738,"1977-04-10",147.58,"meters",-90.685322,38.232738,TRUE
"0094da03-6e73-4188-bd00-1ce410c4562d",-95.40498,37.2416,"1972-05-09",259.75,"meters",-95.40498,37.2416,TRUE
"010ab17f-c795-4075-9279-aa59eb32f29f",-95.69775,33.641556,"2011-05-04",179.31,"meters",-95.69775,33.641556,TRUE
"0237b530-1d07-4a99-92fc-0f9e42ef1acb",-90.6667,38.485502,"1941-04-26",197.93,"meters",-90.6667,38.485502,TRUE
"02810a7b-bb44-488e-ba5a-1df6a2d9a1b1",-91.413821,36.195532,"1981-04-11",157.92,"meters",-91.413821,36.195532,TRUE
"0294e793-14c1-4dc8-b155-2ef1a8d6f813",-95.295128,38.885914,NA,286.16,"meters",-95.295128,38.885914,TRUE
"02b48393-4fa2-458a-ba26-59d436a6ce92",-84.934848,39.591922,"1921-05-18",258.33,"meters",-84.934848,39.591922,TRUE
"035a8a99-27e7-4ab4-b20e-ab6bc4577651",-95.3091,34.9187,"1967-04-28",200.7,"meters",-95.3091,34.9187,TRUE
"038e9c25-2b56-4fb9-b4ba-56c705c45294",-89.46855,37.555457,"1951-05-09",106.91,"meters",-89.46855,37.555457,TRUE
"03d4d45e-4e99-4083-9b8b-6977db2b3247",-85.335652,40.326091,"1911-05-14",275.58,"meters",-85.335652,40.326091,TRUE
"04318dd0-89ef-49d3-be77-bbfd7bbe17e6",-94.638112,37.042952,"1968-04-22",276.09,"meters",-94.638112,37.042952,TRUE
"0514e8e2-9e61-43aa-9d53-f7bd129a56af",-89.602222,42.680009,"1933-05-28",284.46,"meters",-89.602222,42.680009,TRUE
"06d008f6-3af7-466e-aa73-aba3d913c5b6",-86.25222222,34.865,"2007-04-15",215.07,"meters",-86.25222222,34.865,TRUE
"06f3d066-46c2-42bc-8029-dcddbb725ba3",-85.239591,38.867413,"1918-05-05",268.6,"meters",-85.239591,38.867413,TRUE
"07ed75a5-bc69-4ad4-84ad-58c986f9bfbf",-88.134417,41.498814,"1951-05-23",161.78,"meters",-88.134417,41.498814,TRUE
