"uuid","geopoint.lon","geopoint.lat","eventdate","elevation","elev_units","coords.x1","coords.x2","optional"
"0000ecc8-252e-4a8c-828e-f819ed2996c4",-78.19506,40.64677,"1875-05-11",296.72,"meters",-78.19506,40.64677,TRUE
"003b0d9e-2682-45f5-b961-b94e240f74fa",-86.803504,38.179126,"1971-04-03",125.05,"meters",-86.803504,38.179126,TRUE
"0049e0d4-0c5f-488f-b870-42bacae0df81",-76.768848,39.039094,"2011-04-08",21.25,"meters",-76.768848,39.039094,TRUE
"00b09cfe-04a3-49ad-9d88-55ed1040d794",-78.648492,40.009591,"1992-04-26",352.08,"meters",-78.648492,40.009591,TRUE
"00c532d1-e0b4-492e-ace7-c0c7aa565c4c",-72.99312,44.39425,NA,175.15,"meters",-72.99312,44.39425,TRUE
"00c6d206-1016-4bd3-b0eb-50092bdefb80",-94.079226,44.027038,"1883-00-00",305.53,"meters",-94.079226,44.027038,TRUE
"01125b8f-7462-4e06-ad80-83b5705a0724",-73.24227,44.38874,"1889-05-13",32.62,"meters",-73.24227,44.38874,TRUE
"01a830c8-9d41-4b4a-97a5-f6eb014f0fea",-79.6555555556,40.0972222222,"1992-04-10",307.92,"meters",-79.6555555556,40.0972222222,TRUE
"01b535a7-6b2d-4725-927c-0e91f314a80a",-73.15351,44.64296,NA,80.21,"meters",-73.15351,44.64296,TRUE
"0223de33-37cf-4d5b-8c09-70283b044a5d",-79.965072,40.207669,"1945-04-08",228.46,"meters",-79.965072,40.207669,TRUE
"0234967b-864d-43da-8031-53ed68d500b9",-79.135787,38.462142,"1977-04-17",573.12,"meters",-79.135787,38.462142,TRUE
"03075fc8-611a-4d67-bed6-09f58deff8de",-77.2013694,39.1434417,"1974-04-12",153.06,"meters",-77.2013694,39.1434417,TRUE
"03235376-47ad-46e2-9484-8db1eaa4eca1",-87.356667,39.471111,"2006-04-10",156.84,"meters",-87.356667,39.471111,TRUE
"038bb369-96bc-419c-9b1a-a54a93e3c9fb",-94.761494,37.412185,"2015-03-31",274.17,"meters",-94.761494,37.412185,TRUE
"03ad0ec4-0b52-4f62-a4b7-ce9d7a7a3a3e",-95.5081,39.54253,"1976-04-04",315.15,"meters",-95.5081,39.54253,TRUE
"03be48f1-9e52-4a25-800b-b00405018701",-76.9900389,38.7187472,"1974-03-23",43.3,"meters",-76.9900389,38.7187472,TRUE
"03cde636-e087-4131-b92e-1e3956faddee",-93.778353,44.550567,"1979-05-11",301.37,"meters",-93.778353,44.550567,TRUE
"03d55388-25be-4e1c-98a5-c1cf89104a39",-80.481566,39.952856,"1941-05-01",267.47,"meters",-80.481566,39.952856,TRUE
"045ae7af-76bc-4b84-b7f7-4f4c2c0669dc",-76.769898,39.040468,"2011-05-04",22.53,"meters",-76.769898,39.040468,TRUE
"045c1549-40ab-4037-8378-5e0107248a8d",-95.693337,44.116271,"1952-05-06",451.79,"meters",-95.693337,44.116271,TRUE
"047b9181-eb1d-49b4-9494-fc48ae8e858c",-94.64524,37.02375,"1955-04-05",294.22,"meters",-94.64524,37.02375,TRUE
"04870927-8ad6-471e-a86b-3c7b208f6a13",-88.381247,44.324229,"2019-05-11",250.95,"meters",-88.381247,44.324229,TRUE
"0493f227-aaf0-4bad-b55e-f76ff5a8f6c8",-76.6934,38.9507,NA,6.27,"meters",-76.6934,38.9507,TRUE
"04c9b89c-0cad-489d-adc0-0ffe8f283ccf",-86.730322,39.115654,"1960-04-10",185.51,"meters",-86.730322,39.115654,TRUE
"0506fd1a-cdaa-4557-9471-5340b2f97d08",-90.74052156,43.64603675,"1999-04-24",363.65,"meters",-90.74052156,43.64603675,TRUE
"050e43e4-8ce2-4c3d-8762-60533f74e83a",-79.705622,41.078821,"1962-05-15",285.04,"meters",-79.705622,41.078821,TRUE
"0555da91-e7ab-46a0-97d1-c47bee279e19",-77.056111,38.9875,"1893-05-22",52.19,"meters",-77.056111,38.9875,TRUE
"05646ef5-7cd6-4f2e-b0bd-210e9a2badc2",-89.002,34.217,"1966-04-15",136.82,"meters",-89.002,34.217,TRUE
"057e3f69-bd37-44b2-a02f-f015fa74407a",-95.63022,39.85247,"1949-06-03",317.81,"meters",-95.63022,39.85247,TRUE
"058461c0-ad8e-4b29-9d63-d910a9dc113e",-78.546272,38.265947,"1971-04-11",211.08,"meters",-78.546272,38.265947,TRUE
"060d6025-6c8d-4327-923e-7591b7f33911",-79.6438888889,40.4902777778,"1993-04-30",316.26,"meters",-79.6438888889,40.4902777778,TRUE
