"uuid","geopoint.lon","geopoint.lat","eventdate","elevation","elev_units","coords.x1","coords.x2","optional"
"000507bf-fb4d-4ede-ae78-960afac18d3c",-79.050034,40.770064,"1972-05-24",391.88,"meters",-79.050034,40.770064,TRUE
"001e7eb0-61df-4269-a571-0ee9c96214f2",-87.988022,42.974045,"1949-04-22",237.32,"meters",-87.988022,42.974045,TRUE
"003d06ec-5127-4d9b-897e-c57502462cc1",-76.567666,39.402074,"1941-04-19",101.59,"meters",-76.567666,39.402074,TRUE
"004692f7-4e43-4eac-9a71-aabe01a015b9",-77.053672,39.09069,"1978-04-16",114.71,"meters",-77.053672,39.09069,TRUE
"005328df-9fc4-43f7-9fe5-24bb75252866",-80.041773,40.951641,"1950-05-18",362.57,"meters",-80.041773,40.951641,TRUE
"007a9464-b410-4479-90c5-ceb556bf3881",-78.469973,40.265402,"1988-05-14",423.89,"meters",-78.469973,40.265402,TRUE
"0096cf45-f548-4c3e-af23-2dc5335f5ba9",-93.2328846,46.0173874,"1988-05-20",321.71,"meters",-93.2328846,46.0173874,TRUE
"009e4d65-bb57-4bad-b13c-8d196ad31a7a",-75.333496,39.489219,"1934-05-13",11.84,"meters",-75.333496,39.489219,TRUE
"00b3ea4b-d351-4608-ab3b-bc13d2c4560a",-76.535778,40.051119,"1891-05-02",93.72,"meters",-76.535778,40.051119,TRUE
"00c72bc5-97fd-4b5b-8e16-7c0c8025bf4d",-73.23124,44.48735,NA,29.57,"meters",-73.23124,44.48735,TRUE
"00e0257d-2850-4816-b677-185e98022926",-75.248705,39.783459,"1919-05-06",4.17,"meters",-75.248705,39.783459,TRUE
"00f3d6c2-8d5c-4343-b9cc-bd31504a4108",-76.996353,37.488676,"1978-04-15",27.8,"meters",-76.996353,37.488676,TRUE
"0122b1c8-7d7a-4a23-9229-ef1ef962848f",-77.7111,38.8242,NA,118.29,"meters",-77.7111,38.8242,TRUE
"012ee120-5f07-48cc-a66b-f2937b1ed267",-78.324745,43.207558,"1898-05-00",183.68,"meters",-78.324745,43.207558,TRUE
"0139ce96-1cf0-43fd-b7e1-5af642cd3ff3",-79.042764,35.913325,"1975-03-01",137.22,"meters",-79.042764,35.913325,TRUE
