"uuid","geopoint.lon","geopoint.lat","eventdate","elevation","elev_units","coords.x1","coords.x2","optional"
"0032ede7-0849-46b3-afcc-683cb26a9b00",-81.939774,38.532704,"1988-05-27",164.77,"meters",-81.939774,38.532704,TRUE
"004d18d1-6dc5-48f9-935d-5b677d697d15",-79.987287,39.645915,"1941-05-08",248.25,"meters",-79.987287,39.645915,TRUE
"00a2b550-3d2c-4267-836e-fc9bae53285a",-85.189146,40.736317,"1898-05-16",253.67,"meters",-85.189146,40.736317,TRUE
"012548c6-b351-4f74-ac0c-7ecb0f349716",-79.904244,39.846553,"1996-05-20",308.62,"meters",-79.904244,39.846553,TRUE
"01b096e7-75f5-425d-83b7-da2cf8e85eab",-93.768656,38.368094,"1889-04-23",240.66,"meters",-93.768656,38.368094,TRUE
"0254a09e-9cce-4ec0-a7c5-583549c3484d",-86.230964,36.529879,"1975-04-21",227.88,"meters",-86.230964,36.529879,TRUE
"028db816-e612-41ea-afbf-4bd77b14cf07",-79.7369444444,40.1541666667,"1994-04-30",267.81,"meters",-79.7369444444,40.1541666667,TRUE
"04022749-b0e0-448c-b9fc-2ed5b8242d13",-94.790936,38.583419,"1996-05-14",271.24,"meters",-94.790936,38.583419,TRUE
"0536cc46-7559-42bd-ba0f-a02ad365413c",-82.006807,40.335346,"1942-05-27",243.53,"meters",-82.006807,40.335346,TRUE
"0604ad45-45bd-4d0b-a427-04b0d4480f35",-85.13587,41.295705,"1908-05-17",260.78,"meters",-85.13587,41.295705,TRUE
"08101787-e349-48a0-b72a-b3a504db9d68",-80.467664,39.954818,"1941-05-01",270.71,"meters",-80.467664,39.954818,TRUE
"08b20a56-053c-4f38-92bc-dcd2df9f58d0",-87.816485,41.830811,"1872-05-24",187.41,"meters",-87.816485,41.830811,TRUE
"0adbc574-7a04-46a4-91ff-735ae4b057b5",-86.458826,39.084638,"1931-04-30",164.55,"meters",-86.458826,39.084638,TRUE
"0c5a7724-983d-47e2-bbf2-a5bcb17f26eb",-80.75,37.3333,"2008-05-14",499.18,"meters",-80.75,37.3333,TRUE
"0d44cd22-5fff-48ae-a864-81774ecb14fc",-80.518018,39.959673,"2016-04-19",284.29,"meters",-80.518018,39.959673,TRUE
"0e89f6c0-4540-4f2d-9f11-13b0f04c4431",-79.6966666667,40.4277777778,"1996-05-17",277.18,"meters",-79.6966666667,40.4277777778,TRUE
"11a53957-526f-4799-9a02-ac0bcb4d8feb",-80.2332,40.02918,"2005-05-17",305.83,"meters",-80.2332,40.02918,TRUE
"12a7dc83-55ae-4e08-8a53-9f2a4f5ca865",-84.71954,37.819498,"1964-04-22",232.87,"meters",-84.71954,37.819498,TRUE
"14126d72-fcfe-4a46-8a10-267bb1bb5d89",-80.4363,39.8831,"2017-05-03",298.13,"meters",-80.4363,39.8831,TRUE
"1429965b-e11c-4b17-b87d-44036a3a59fd",-79.894705,39.900073,"1950-05-03",279.1,"meters",-79.894705,39.900073,TRUE
"1554a6b6-8f36-41ab-b4b0-a642619234c1",-81.86449,36.906875,"2003-04-22",936.62,"meters",-81.86449,36.906875,TRUE
"187a6443-e0a2-4d66-a769-8472639bec0d",-89.12964,40.35503,"2006-04-27",213.75,"meters",-89.12964,40.35503,TRUE
"19bf7b16-cd28-41d8-a1d1-4be29851ed17",-80.300197,40.543416,"1940-05-19",253.95,"meters",-80.300197,40.543416,TRUE
"19fc2177-4ee5-4b72-83e6-539c5e2bba20",-80.5,39.95,"1985-05-08",412.81,"meters",-80.5,39.95,TRUE
