"uuid","geopoint.lon","geopoint.lat","eventdate","elevation","elev_units","coords.x1","coords.x2","optional"
"0009385d-431a-4fd5-beb6-e8fa5a6c090c",-82.25664,38.59025,"1975-03-31",166.18,"meters",-82.25664,38.59025,TRUE
"000ea28a-92ba-4683-8ab2-da30e6d93edc",-94.9499969,38.2333336,"2000-04-04",286.27,"meters",-94.9499969,38.2333336,TRUE
"0024ad69-adbc-4124-a310-9693267c734f",-72.82417,44.30571,NA,674.68,"meters",-72.82417,44.30571,TRUE
"0028ceab-151a-4664-a406-e907db8c83b3",-74.019016,40.7651,"1881-04-30",2.92,"meters",-74.019016,40.7651,TRUE
"005b2393-0a06-4b02-9841-390fd61f4b80",-80.121404,40.804768,"1966-05-04",293.77,"meters",-80.121404,40.804768,TRUE
"0072feef-d8e3-4031-bb40-028bce45072c",-116.438932,47.564217,"1924-05-25",652.7,"meters",-116.438932,47.564217,TRUE
"0078433b-3ba8-4fa9-bdda-c08b285c3d16",-79.97691666666,40.20336111111,"2005-04-18",239.54,"meters",-79.97691666666,40.20336111111,TRUE
"008cdf6c-d15a-4340-8def-eab6b795f87c",-95.96519,38.53316,"1992-04-14",323.04,"meters",-95.96519,38.53316,TRUE
"010aff1a-a90f-47b7-9776-b0aec655e057",-79.116115,35.624465,"1970-04-00",68.46,"meters",-79.116115,35.624465,TRUE
"0112ecc1-6b33-4c09-842c-f19c28932e67",-88.5056,41.635,"2006-04-19",181.53,"meters",-88.5056,41.635,TRUE
"013c114c-c394-4917-b2a3-18445d3c8465",-96.588363,39.204163,"1884-04-18",333.51,"meters",-96.588363,39.204163,TRUE
"0141d957-9f9e-49cc-a905-e81d44f863b0",-86.041389,38.885925,"1951-04-15",196,"meters",-86.041389,38.885925,TRUE
"0194c9c4-fa03-4834-880e-40e188edf001",-92.461936,44.511242,"1979-04-23",276.04,"meters",-92.461936,44.511242,TRUE
"0195904f-725a-47f0-934d-22e3085e45c8",-95.15567,39.58866,"1973-05-05",306.12,"meters",-95.15567,39.58866,TRUE
"01acce6c-b5b3-4ca1-9fd9-0ab3c3c98305",-73.06853,43.16564,NA,251.27,"meters",-73.06853,43.16564,TRUE
"01d864b2-6e7a-4c65-ad6f-3704936ee512",-116.764683,46.482162,"1970-04-04",299.49,"meters",-116.764683,46.482162,TRUE
"024c5823-e222-414d-99dd-0ff3a3a0fe78",-116.6098,44.7535,"2011-06-24",1571.35,"meters",-116.6098,44.7535,TRUE
"0299034c-78f7-4536-8fef-9d40f1127041",-82.865833,39.978889,"2005-05-08",231.43,"meters",-82.865833,39.978889,TRUE
"02ff8287-fa50-47da-b091-c839de75e245",-79.763838,40.289085,"1986-04-03",248.63,"meters",-79.763838,40.289085,TRUE
"030f2246-82d3-4b1a-aa3e-948deb1e20c7",-88.20156,41.94458,"1957-04-27",234.11,"meters",-88.20156,41.94458,TRUE
"03291cd0-dddc-4927-b64e-50656cfb9719",-94.655369,37.04146,"2015-04-16",259.11,"meters",-94.655369,37.04146,TRUE
"037d1c04-e7d0-4de7-ac42-a98d03ec7534",-116.382607330842,45.1873203121636,"1980-06-02",1646.52,"meters",-116.382607330842,45.1873203121636,TRUE
"03c756f4-e6d9-4d60-ad10-c031c2f19fd6",-76.776614,41.546182,"1960-04-30",643.05,"meters",-76.776614,41.546182,TRUE
"03ce5ecf-8804-4547-9ae8-8017dfdb4c0f",-78.01868,41.77669,"1944-05-06",500.93,"meters",-78.01868,41.77669,TRUE
"03d8f741-ba47-4a35-8c12-65ea05308712",-79.380685,35.457442,"1951-04-07",70.64,"meters",-79.380685,35.457442,TRUE
"04052ae1-34ff-4d0a-837d-41de252efea6",-63.1247,45.393,"1928-05-23",NA,"meters",-63.1247,45.393,TRUE
"040a2856-194d-4d0e-959a-bebd70c13cfd",-78.978371,41.617562,"1947-05-04",430.67,"meters",-78.978371,41.617562,TRUE
"0436bc5e-f2da-49b0-9c04-f08bf911f7c7",-88.5055,41.635,"2006-04-19",182.44,"meters",-88.5055,41.635,TRUE
"044b2dc9-ac8f-4b5a-a9c9-4705219e2ea3",-85.548879,39.376761,"1911-05-13",275.19,"meters",-85.548879,39.376761,TRUE
"0450efd2-5aa7-49c5-8157-768832169177",-87.599608,41.556405,"1961-04-29",185.91,"meters",-87.599608,41.556405,TRUE
"045120d8-b7d5-45f7-8947-612e342c9332",-117.38033,46.63692,"1949-03-27",224.9,"meters",-117.38033,46.63692,TRUE
"0457bdfb-439b-4e3a-a0a6-059871bd85e9",-93.86939,44.229734,"1966-05-28",300.48,"meters",-93.86939,44.229734,TRUE
"04594cdf-1cc0-4152-a18b-0dccbd2313b5",-83.121112,35.243814,"1967-03-31",672.97,"meters",-83.121112,35.243814,TRUE
"0482e1d3-5ee7-45e7-8918-2d71e964795b",-93.4436111,44.0705556,"1990-05-21",342.84,"meters",-93.4436111,44.0705556,TRUE
"04dbb4d8-ec6f-4452-89d7-36b3ec5d89f8",-83.106751,35.538842,"1974-04-26",1146.74,"meters",-83.106751,35.538842,TRUE
"05035020-4f81-448f-8faa-19cf59713722",-73.23596,44.30894,"0000-00-00",185.92,"meters",-73.23596,44.30894,TRUE
"051e6d0d-fef3-4fb8-b745-397a4edefdcd",-82.257718,38.589173,"1975-03-16",166.25,"meters",-82.257718,38.589173,TRUE
"0588bd80-8c9a-47d5-bef0-196bf6369789",-80.39083333333,42.01666666666,"2004-05-15",200.58,"meters",-80.39083333333,42.01666666666,TRUE
"05b4c408-b20a-4540-8023-15f550e62fbf",-117.031326,46.434768,"1940-04-02",325.36,"meters",-117.031326,46.434768,TRUE
"05df21c0-77c2-4089-9886-4371a40d5b74",-78.33917,39.73139,"1996-05-10",239.48,"meters",-78.33917,39.73139,TRUE
"05e25a93-70b3-4f3b-b6f0-e5834637e3a8",-79.764717,40.381351,"1919-04-12",243.53,"meters",-79.764717,40.381351,TRUE
"06295184-a92c-4c84-9f74-56fc57ef3684",-72.78444,44.79373,"0000-00-00",280.92,"meters",-72.78444,44.79373,TRUE
"06806870-5ca5-4d82-b6fe-6d086f741b4a",-72.9247,41.3114,"1985-04-30",8.46,"meters",-72.9247,41.3114,TRUE
"06b99f79-56aa-4fb2-b243-fdf9758b285b",-75.211018,39.932763,"1895-04-19",12.54,"meters",-75.211018,39.932763,TRUE
"072a5a72-5fc3-470a-99b3-5d2f8985d968",-82.509016,41.297512,"1974-05-03",238.38,"meters",-82.509016,41.297512,TRUE
"074dace1-599c-4791-ba89-89c87f4678c6",-80.08713,39.91602,"1994-04-17",263.92,"meters",-80.08713,39.91602,TRUE
"07a490d4-627d-4b77-ad21-f3191caf76f9",-79.502952,40.533272,"1992-05-06",274.23,"meters",-79.502952,40.533272,TRUE
"07b0d3a0-5427-4009-8402-9d8df6678580",-76.742971,39.056602,"1985-04-06",28.94,"meters",-76.742971,39.056602,TRUE
"07bdb4b8-dd88-4714-a5a6-ce3e4dbaab13",-72.904,41.5115,"1908-05-10",71.64,"meters",-72.904,41.5115,TRUE
"07bf2808-0a85-461d-94a3-d923b8fcee9b",-77.2526,39.00101,"1975-04-19",41.09,"meters",-77.2526,39.00101,TRUE
"07e7ee74-d943-4140-93e7-861300a47906",-82.98378,38.253693,"1965-04-25",214.66,"meters",-82.98378,38.253693,TRUE
"07eeb637-c444-4178-a38e-8e329a2a1096",-73.897752,40.908267,"1902-05-04",32.89,"meters",-73.897752,40.908267,TRUE
"084be237-e43d-4e8a-8158-a626a4c968df",-76.708303,40.265368,"1925-04-12",117.29,"meters",-76.708303,40.265368,TRUE
"08754d4b-cd6f-42d4-910b-555548ad98e0",-80.192837,40.551179,"1889-04-30",221.59,"meters",-80.192837,40.551179,TRUE
"089737f4-4c42-40d3-94de-91f408566959",-94.666667,37.266667,"1994-04-01",260.15,"meters",-94.666667,37.266667,TRUE
"08ac98f1-4e8b-41ba-9d7d-cfaa818fd0b7",-82.257374,38.5881,"1975-04-04",166.4,"meters",-82.257374,38.5881,TRUE
"08be284f-de7c-43cf-96ae-1a811b1ff599",-90.620209,41.570922,"1891-04-25",203.76,"meters",-90.620209,41.570922,TRUE
"08c47de2-1e71-4567-82d1-246e8e9dc441",-88.9057,37.5121,"1969-04-10",168.35,"meters",-88.9057,37.5121,TRUE
"09028f42-ecb5-4b75-87f7-5fd07caacc91",-94.873492,38.135123,"1999-03-27",303.48,"meters",-94.873492,38.135123,TRUE
"090d62ce-94a8-4a37-9793-c59ff7c676d3",-78.36488,39.75615,"1950-05-06",231.73,"meters",-78.36488,39.75615,TRUE
"0965c57d-f275-4aa5-b0df-354c2e5395c4",-82.52825,36.08387,"2009-04-04",937.08,"meters",-82.52825,36.08387,TRUE
"096ffd9d-9a81-4a62-8960-161abffec11f",-75.492125,40.390933,"1904-05-05",116.33,"meters",-75.492125,40.390933,TRUE
"0972c02c-2a32-4ba5-8eb3-69c19ad617fb",-75.469301,40.358351,"1934-05-12",101.34,"meters",-75.469301,40.358351,TRUE
"09a69235-0fa7-4c9b-8386-169d006e466a",-73.23596,44.30894,NA,185.92,"meters",-73.23596,44.30894,TRUE
"0a0b210e-883f-4f7b-a7df-000355b8542b",-87.24,40.32,"1959-04-11",154.86,"meters",-87.24,40.32,TRUE
"0a108cd5-282a-4077-86db-1675ebe666d2",-93.5251585,46.3411195,"1991-05-30",384.55,"meters",-93.5251585,46.3411195,TRUE
"0a35fb6f-05e0-4f8c-a2a6-dc3e956481f2",-72.9247,41.3114,"1970-04-23",8.46,"meters",-72.9247,41.3114,TRUE
"0a640382-7853-4d42-8bfb-0c1952e0af1d",-116.677222,47.611505,"1990-05-01",651.14,"meters",-116.677222,47.611505,TRUE
"0a834888-d160-4999-91af-0a8eebd5f4e0",-73.43989,41.20694,"1974-05-05",118.97,"meters",-73.43989,41.20694,TRUE
"0a8b02e6-3cde-4421-b4a3-a797d6b6b353",-87.59289177,44.37826158,"2004-04-23",198.8,"meters",-87.59289177,44.37826158,TRUE
"0aaadccd-383a-43fa-884f-a3086ac35e4a",-76.754325,39.946729,"0000-00-00",122.64,"meters",-76.754325,39.946729,TRUE
"0b07d876-0e81-49ed-b3c1-6a6afca9e8e6",-88.152,39.4042,"1956-04-18",200.79,"meters",-88.152,39.4042,TRUE
"0b2975f0-c53b-46f5-a46d-1ca9d1592fe1",-69.31131,44.76238,"1892-05-20",57.54,"meters",-69.31131,44.76238,TRUE
"0b590079-862a-431d-868e-0980facdb54b",-90.5776,41.5236,"1887-04-20",179.43,"meters",-90.5776,41.5236,TRUE
"0c43871c-6b02-47ae-9b80-925649405ebc",-74.587672,40.138474,"1949-05-12",9.44,"meters",-74.587672,40.138474,TRUE
"0c439328-87b3-4d39-adfa-421e4d59796d",-90.723475,41.45642,"1914-05-00",171.21,"meters",-90.723475,41.45642,TRUE
"0cc35b62-91d4-4dce-9aa4-6e737e5d1663",-77.4775,39.1011,NA,55.9,"meters",-77.4775,39.1011,TRUE
"0d2a7e77-edfa-4f70-9d14-c0d7cb417d1d",-75.176683,40.535761,"1925-04-18",110.64,"meters",-75.176683,40.535761,TRUE
"0d2c6eac-a076-43e4-ba7f-1624df42fabc",-72.9316,41.407,"1909-03-13",125.03,"meters",-72.9316,41.407,TRUE
"0d37d076-ac1d-4a15-a9d3-e3538d830a77",-87.963192,38.060175,"2021-04-17",117.23,"meters",-87.963192,38.060175,TRUE
"0d4ae5a7-9efb-4226-b1e1-5af53ac7a037",-79.88157,40.309469,"1948-04-17",226.81,"meters",-79.88157,40.309469,TRUE
"0d9fa408-83e0-481c-9a27-ef4e32e3fc7b",-115.966667,47.65,"2004-05",1002.97,"meters",-115.966667,47.65,TRUE
"0dea2720-bfcd-47cc-84af-eb59e7d1d217",-85.178864,36.309445,"1993-04-10",259.72,"meters",-85.178864,36.309445,TRUE
"0e245492-a62b-454d-8eec-85e234d680a1",-80.33656,40.66422,NA,249.06,"meters",-80.33656,40.66422,TRUE
"0e393c11-ed07-40b7-81b1-9a3718394082",-116.751099,46.619345,"1936-04-19",519.89,"meters",-116.751099,46.619345,TRUE
"0e536167-9c05-44d8-85d9-2cf9945a7519",-88.198304,34.969519,"1979-04-10",187.43,"meters",-88.198304,34.969519,TRUE
"0e5f5e72-06b1-4ac8-ae11-50f0da2814f3",-74.674502,40.17361,"1950-05-11",1.1,"meters",-74.674502,40.17361,TRUE
"0eaf0c99-8aef-4811-87e3-ab96cbf5cc01",-92.669081,44.294132,"1896-04-23",301.75,"meters",-92.669081,44.294132,TRUE
"0eb98162-ccf4-4005-aa28-9a31024d4c87",-75.546589,39.745947,"1876-04-00",27.89,"meters",-75.546589,39.745947,TRUE
"0ec4c00f-2044-49c6-b350-ab2a237e990c",-116.558529,47.73959,"1979-06-08",1307.22,"meters",-116.558529,47.73959,TRUE
"0edbdbb3-90a9-4b4f-b028-fee6e4293ed9",-82.260121,38.58971,"1975-04-21",165.96,"meters",-82.260121,38.58971,TRUE
"0efd0929-dad6-4e79-af99-698fca7a7792",-88.366973,40.579676,"1996-04-28",253.7,"meters",-88.366973,40.579676,TRUE
"0f17d489-189c-475a-aa1b-63caf3682d0a",-72.8571,41.6741,"1902-05-04",57.96,"meters",-72.8571,41.6741,TRUE
"0f400932-4fa1-43ca-9a78-a18273dc1e38",-76.62472,39.50974,"2018-04-14",79.79,"meters",-76.62472,39.50974,TRUE
"0f7afc41-bac6-4cd9-8beb-6fc81ca038ae",-90.136151,47.8525233,"1983-06-09",433.3,"meters",-90.136151,47.8525233,TRUE
"0f7b668f-fbb7-4465-ab40-2c843aa18787",-88.51326256,45.92156153,"2010-06-08",455.77,"meters",-88.51326256,45.92156153,TRUE
"0fa593b7-1018-4c8d-8769-365924540741",-80.479827,39.95291,"1984-04-30",267.5,"meters",-80.479827,39.95291,TRUE
"0fb4f0a9-65f0-43e1-bd7e-afdda26bab08",-87.816485,41.830811,"1877-04-28",187.41,"meters",-87.816485,41.830811,TRUE
"0fca06c1-784e-4983-88a2-452531064336",-94.84267,39.11407,"1975-04-25",313.41,"meters",-94.84267,39.11407,TRUE
"0fca0e12-d2d0-4455-91b7-a72df1ddab2b",-92.352377,46.643301,"1941-05-10",226.6,"meters",-92.352377,46.643301,TRUE
"0fda3862-afd8-453d-badb-19232b0feb13",-95.43693,37.7961,"1968-04-10",277.19,"meters",-95.43693,37.7961,TRUE
"0fee0c41-8760-4af9-bcc7-180464cf0b76",-74.973859,41.117885,"1953-04-06",175.06,"meters",-74.973859,41.117885,TRUE
"1017934a-b9f0-46f9-aa07-39d3fbe07f1b",-76.768233,39.070666,"1947-04-26",32.96,"meters",-76.768233,39.070666,TRUE
"1037723f-ebc8-421d-8691-0b735a294fb0",-95.3551,39.01369,"1941-04-20",316.07,"meters",-95.3551,39.01369,TRUE
"104cc936-aca8-4abb-9d6e-075409fae8bc",-75.060449,40.469246,"1933-04-24",53.31,"meters",-75.060449,40.469246,TRUE
"104e9eae-0545-4176-8e36-11e5d50fa9bf",-88.20156,41.94458,"1957-04-27",234.11,"meters",-88.20156,41.94458,TRUE
"108fdc55-66aa-4077-aeb4-dc3ebd3b1d5d",-95.899356,39.907423,"1973-05-08",370.47,"meters",-95.899356,39.907423,TRUE
"10993097-f834-476e-b62c-9771fd9c2301",-75.062115,40.453715,"1958-04-24",131.74,"meters",-75.062115,40.453715,TRUE
"10a71963-f1f0-4a5c-924f-c4010b146c1d",-76.9651806,39.1610333,"1980-04-19",129.61,"meters",-76.9651806,39.1610333,TRUE
"1119e580-70f8-4800-8de9-67348ffac685",-86.23804,36.51866,"1976-03-28",194.4,"meters",-86.23804,36.51866,TRUE
"111b14b0-f49a-4ca8-9172-9023200f8622",-81.818532,38.383086,"1975-04-19",177.98,"meters",-81.818532,38.383086,TRUE
"112ca4d1-a8ae-435b-8eeb-b33f1e99e03a",-77.039198,38.790313,"1984-05-10",-0.04,"meters",-77.039198,38.790313,TRUE
"112e9d9c-d2b0-425d-b46f-ed1320d5ee4c",-72.02697,44.76016,"1980-05-08",556.26,"meters",-72.02697,44.76016,TRUE
"11686379-fca3-45b6-a7d5-8a92361ff38a",-94.3577778,43.5797222,"1990-05-17",354.01,"meters",-94.3577778,43.5797222,TRUE
"1180a59a-9682-4e6b-a46a-1f5908204fd0",-116.6958,45.2542,"1982-03-22",448,"meters",-116.6958,45.2542,TRUE
"1189e6d5-0cd8-454d-b09e-0ce0d9b57b71",-80.284319,41.037874,"1913-05-11",311.02,"meters",-80.284319,41.037874,TRUE
"11b0f1ad-2b91-40f2-9452-76657edf8ff8",-116.705087,46.578539,"1920-04-21",343.55,"meters",-116.705087,46.578539,TRUE
"122377a8-3649-421e-a9a8-05a4abb2a829",-72.63584,42.67598,"2013-05-02",157.51,"meters",-72.63584,42.67598,TRUE
"1227a4e2-690c-4a82-aa4b-dce4a9be9bd7",-93.6933678,44.8841243,"1977-04-18",289.69,"meters",-93.6933678,44.8841243,TRUE
"123ae8be-e893-45b6-bda6-63188b810e2c",-95.0646485,43.7248138,"1983-05-19",434.45,"meters",-95.0646485,43.7248138,TRUE
"12490523-12bc-4170-b310-eaff00e9d552",-80.09833333333,39.90055555555,"1993-04-25",389.64,"meters",-80.09833333333,39.90055555555,TRUE
"124d91d3-009f-4c51-b2d4-593c736f792f",-87.185468,39.890915,"1917-08-23",165.21,"meters",-87.185468,39.890915,TRUE
"12d69cf1-e9af-4fe5-8c4d-a2c5aa79fb01",-95.488634,46.609774,"1912-05-10",406.34,"meters",-95.488634,46.609774,TRUE
"12db1808-520f-40fa-aa1d-984f0380380d",-92.3191229,44.5198223,"1897-05-03",203.57,"meters",-92.3191229,44.5198223,TRUE
"13274e31-414c-4096-bb19-858139587676",-79.288,36.41154,"2009-04-08",126.76,"meters",-79.288,36.41154,TRUE
"13e6cde0-8f25-41fa-bcf5-de7dbc8d9659",-73.22009,44.46004,"0000-00-00",37.84,"meters",-73.22009,44.46004,TRUE
"14456dc2-4472-413e-9b57-624b13d99534",-73.23124,44.48735,"1939-05-03",29.57,"meters",-73.23124,44.48735,TRUE
"147ba15e-acc9-440e-8055-c581ad0c2726",-81.388126,39.030079,"1945-04-01",196.21,"meters",-81.388126,39.030079,TRUE
"14a2447b-180a-4461-a974-81214530a7d3",-79.483567,37.494188,"1934-04-26",484.78,"meters",-79.483567,37.494188,TRUE
"14f7b289-2337-4930-8955-13cdd2ea94f6",-92.4011111,43.8844444,"1985-04-20",348.17,"meters",-92.4011111,43.8844444,TRUE
"1543dd4e-def2-4352-8a8a-9e0b63251e8b",-79.75833,40.63872,"1991-04-11",331.73,"meters",-79.75833,40.63872,TRUE
"158af99f-f5a4-4d98-a6ed-c3ad305392d8",-73.23596,44.30894,NA,185.92,"meters",-73.23596,44.30894,TRUE
"159f1429-d73c-49dd-906e-60b773b7ffc6",-77.152758,39.083997,NA,139.12,"meters",-77.152758,39.083997,TRUE
"15bb6819-518e-4068-9368-99e29dceb8eb",-79.20326,40.13679,"1987-04-28",653.5,"meters",-79.20326,40.13679,TRUE
