"uuid","geopoint.lon","geopoint.lat","eventdate","elevation","elev_units","coords.x1","coords.x2","optional"
"006f010c-b3f9-4aeb-ba82-b61b85c22af2",-97.4806,32.9323,"2011-04-22",212.7,"meters",-97.4806,32.9323,TRUE
"028f9f3f-d186-4fad-be47-e09f7ebbf86e",-77.734539,39.385549,"1983-04-30",88.74,"meters",-77.734539,39.385549,TRUE
"03a69d57-feb4-4193-8ad3-877f45b93904",-90.558839,41.563788,"1949-05-11",199.92,"meters",-90.558839,41.563788,TRUE
"04d550f2-24da-404a-b1cf-a6db2b389fbb",-86.5630556,39.0372222,"1935-05-04",181.14,"meters",-86.5630556,39.0372222,TRUE
"07dcad42-4a1d-467c-aef9-b678e5f227c8",-90.57678,41.52914,NA,203.8,"meters",-90.57678,41.52914,TRUE
"0c6df0ff-86c1-46d7-be7e-a2ac839941f8",-83.970201,35.945306,"1939-05-06",283.66,"meters",-83.970201,35.945306,TRUE
"0d14894d-b804-45c5-8de2-6c9b64371fa9",-90.5542,39.383433,"1977-04-28",133.29,"meters",-90.5542,39.383433,TRUE
"0e642d4c-85d5-4102-b94d-667cd413bb2d",-92.455902,42.847524,"1948-05-17",305.86,"meters",-92.455902,42.847524,TRUE
"0eea6288-f59e-4bf4-9c05-8fa84b4fd576",-84.857,30.6669833,"2007-03-23",32.84,"meters",-84.857,30.6669833,TRUE
"102e82e6-ee34-4c73-80bc-210f06188fab",-84.98,35.8,"1994-05-20",850.11,"meters",-84.98,35.8,TRUE
"10e31351-d449-4907-9442-eed5d1adaf2f",-78.762518,39.652865,"1902-04-00",190.25,"meters",-78.762518,39.652865,TRUE
"11329227-4616-4ae5-938e-99fe622c0581",-97.027778,34.478889,"2001-04-30",288.74,"meters",-97.027778,34.478889,TRUE
"1133491c-5dec-4b75-961c-bc59088eb78c",-94.87596,37.516,"2015-04-26",294.22,"meters",-94.87596,37.516,TRUE
"14c52f9b-1964-4f10-a4b6-d36c5181fbc8",-88.659905,37.414248,"1974-05-25",131.68,"meters",-88.659905,37.414248,TRUE
"1554f235-7880-4a08-badd-f685a020de00",-93.83352,35.982562,"1969-04-13",482.57,"meters",-93.83352,35.982562,TRUE
"16a8491f-ad34-4e72-9879-4cea408fe453",-79.111058,39.177862,"1938-05-01",367.69,"meters",-79.111058,39.177862,TRUE
"1801e977-b747-4fdb-9ae6-45085a3322b9",-86.98137,34.810076,"1968-04-19",215.54,"meters",-86.98137,34.810076,TRUE
"1949784b-5167-4748-ab06-155c53dd961b",-94.70676,36.662189,"1980-05-25",238.07,"meters",-94.70676,36.662189,TRUE
"1d922341-2d51-43d5-9a7f-095ea5f6b476",-77.174859,38.994271,"1930-05-09",59.1,"meters",-77.174859,38.994271,TRUE
"1e3c5547-90bf-4450-a903-1525fbbf5ade",-90.55481,41.562335,"1955-05-04",211.14,"meters",-90.55481,41.562335,TRUE
"1f9b2b26-e3c3-4754-ba8f-19a26576284f",-88.041046,41.820662,"1936-06-14",206.29,"meters",-88.041046,41.820662,TRUE
