"uuid","geopoint.lon","geopoint.lat","eventdate","elevation","elev_units","coords.x1","coords.x2","optional"
"006a8397-6287-4d1f-a099-a84e6b380ac4",-72.63399,43.8334,"1945-04-28",176.51,"meters",-72.63399,43.8334,TRUE
"010029c5-e986-4fd8-813b-09e7fec7ce15",-74.839874,42.687297,NA,381.18,"meters",-74.839874,42.687297,TRUE
"011ef09f-4893-44a4-b9d0-cb3e9949ad66",-83.729411,36.458054,"1961-04-22",460.28,"meters",-83.729411,36.458054,TRUE
"011fd0fe-9bb7-411c-9a16-421e42fe0cf2",-74.171663,40.617093,"1910-04-23",3.88,"meters",-74.171663,40.617093,TRUE
"014d85e9-4277-4f3e-b47c-cc4019c8c377",-74.3738888889,41.8172222222,"2010-04-15",303.83,"meters",-74.3738888889,41.8172222222,TRUE
"01d77215-45b5-44b3-8ace-91913ee53250",-79.890778,40.269646,"1926-05-01",230.01,"meters",-79.890778,40.269646,TRUE
"01f5a8f3-630e-4193-b7c3-91de99dd3126",-76.971897,39.00318,NA,52.95,"meters",-76.971897,39.00318,TRUE
"02c9eb4c-9f3f-48e5-9121-0b528f63108b",-74.95097,40.05522,"1915-04-29",3.41,"meters",-74.95097,40.05522,TRUE
"031e14c9-68d3-4805-8bdd-c729d91b94fd",-76.65872,38.792337,"1959-04-05",31.76,"meters",-76.65872,38.792337,TRUE
"03361ec5-4000-499a-8ffb-0b6e08bd2de5",-76.152341,36.580339,"1993-03-28",2.3,"meters",-76.152341,36.580339,TRUE
"0345eafe-01c6-4f05-a912-2b849e0aa8fe",-80.350638,39.247161,"1947-04-18",349.42,"meters",-80.350638,39.247161,TRUE
"036d014b-9849-495e-a3e4-a8a0ba5d3d9b",-84.47615,42.7183667,"2009-05-15",261.96,"meters",-84.47615,42.7183667,TRUE
"03e2fb40-f9df-490c-b15c-bec01f777b80",-76.935705,38.989548,"1978-04-15",20.37,"meters",-76.935705,38.989548,TRUE
"0408d76b-260f-4e09-b70a-261944245c54",-81.474005,40.52062,"1851-06-00",272.03,"meters",-81.474005,40.52062,TRUE
"04d48f18-69c0-45db-8c8a-7a24feae471a",-79.76916,40.18789,"2009-05-17",237.45,"meters",-79.76916,40.18789,TRUE
"0512942b-f76c-4d03-9b43-bc259f463ba7",-78.841891,41.77786,"1955-05-07",417.39,"meters",-78.841891,41.77786,TRUE
"0540061f-6cd4-44af-8abb-eb76d477ab8c",-79.268381,41.810247,"1955-05-07",478.11,"meters",-79.268381,41.810247,TRUE
"05d621b9-e906-4aea-8937-184f7d311241",-85.352131,36.438992,"2004-03-24",364.93,"meters",-85.352131,36.438992,TRUE
"064895fc-a492-453b-8dc6-c4bb658b2c9b",-87.05866,35.076489,"2002-04-29",268.54,"meters",-87.05866,35.076489,TRUE
"064be4ff-dcd1-4de7-9505-372dd36c87ad",-77.010807,39.055682,"1975-04-06",75.3,"meters",-77.010807,39.055682,TRUE
"069efa71-7f6e-466b-80ad-f2550d941845",-76.761879,39.091162,"1975-04-12",34.48,"meters",-76.761879,39.091162,TRUE
"06d903eb-5827-4cd7-a255-531381d50a13",-79.708185,40.717481,"1940-05-08",257.37,"meters",-79.708185,40.717481,TRUE
"06e188bf-d63a-4738-8e20-598a6d293d5f",-84.533923,35.189775,"1958-04-05",362.94,"meters",-84.533923,35.189775,TRUE
"06e2d0bb-566f-427f-835c-8a358822127c",-79.625668,41.038136,"1994-04-23",262.82,"meters",-79.625668,41.038136,TRUE
"08248f0d-5eed-4674-b9d6-a9e9ecd29faf",-85.275795,35.187909,"1932-03-25",307.31,"meters",-85.275795,35.187909,TRUE
"0846ee19-32a1-4f15-9e98-cb304124a1a1",-85.440345397,40.3478478521,"1947-04-29",269.56,"meters",-85.440345397,40.3478478521,TRUE
"087e3eb4-1e94-4b7d-b574-203c6849c6c4",-83.963583,35.922511,"1934-04-01",278.8,"meters",-83.963583,35.922511,TRUE
"0886ffd8-8741-4fbb-a5a6-ffb1cdd32261",-74.149588,40.583438,"0000-04-00",48.75,"meters",-74.149588,40.583438,TRUE
"08d82b01-ab5e-4932-b464-69208e7e48e5",-78.351504,40.006811,"1936-04-25",302.42,"meters",-78.351504,40.006811,TRUE
"09578c29-06ee-4764-b629-e6efb3066379",-79.27299,40.162345,"1983-04-30",405.4,"meters",-79.27299,40.162345,TRUE
"095d6208-a875-4d9f-bb70-f0d111d125ef",-78.854722,35.135278,"2008-03-02",22.21,"meters",-78.854722,35.135278,TRUE
"09656db1-e1db-4789-b00d-ad93b02a1cf9",-79.2327777778,40.22,"1992-04-18",427.31,"meters",-79.2327777778,40.22,TRUE
"09ac2104-5f7c-48f3-b716-6ae808c413e3",-78.91814,40.3257,"1874-05-03",356.72,"meters",-78.91814,40.3257,TRUE
"0a7c20f8-ad0d-4db8-b1bf-7d405756edc6",-76.84306,39.070046,"1986-04-04",37.46,"meters",-76.84306,39.070046,TRUE
"0ac6023d-2e93-465e-8a61-87e9b2c5ac13",-77.4669,39.6539,NA,543.47,"meters",-77.4669,39.6539,TRUE
"0b31282a-2497-4284-9b03-bf61ea61aeeb",-76.206661,39.539598,"1978-04-22",82.31,"meters",-76.206661,39.539598,TRUE
"0b76c684-d563-4abe-bbb1-c14666d572f0",-79.101695,40.041744,"1992-05-03",666.96,"meters",-79.101695,40.041744,TRUE
"0bd87122-f7e0-4dd3-b20d-f3a2c7b7c5de",-79.054583,40.778904,"1972-05-24",388.78,"meters",-79.054583,40.778904,TRUE
"0be42e04-65ce-4391-a16b-9fa8b1060b17",-88.094993,38.572364,"1969-04-13",132.57,"meters",-88.094993,38.572364,TRUE
"0c844c06-1987-4c39-adf6-12012a0f3d90",-84.539283,39.134314,"1879-04-12",151.41,"meters",-84.539283,39.134314,TRUE
"0cbd4825-516e-4e4c-839a-9c38b039807d",-78.487876,39.830236,"1940-04-30",312.54,"meters",-78.487876,39.830236,TRUE
"0d5016da-da28-4497-9bc3-956ce45a86b2",-76.937323,38.99407,"1978-04-16",20.75,"meters",-76.937323,38.99407,TRUE
"0d66b963-9ed7-4881-84a9-0c9f7d0494be",-80.746102,40.344668,"1956-04-28",259.69,"meters",-80.746102,40.344668,TRUE
"0e02e096-ad9c-4775-92df-00a996ece200",-85.176909,36.210621,"1993-04-07",578.41,"meters",-85.176909,36.210621,TRUE
"0e2f0edc-b1c8-4295-be13-4bd819d16f07",-75.387763,40.539308,"1922-05-14",120.48,"meters",-75.387763,40.539308,TRUE
"0e4cb2b3-e2cd-412a-a29d-270c969dac84",-79.043175,40.480743,"1952-04-29",393.4,"meters",-79.043175,40.480743,TRUE
"0ec6e58a-2b76-4453-9323-8cc000784754",-85.6618167,43.01365,"2016-05-02",192.85,"meters",-85.6618167,43.01365,TRUE
"0ee3a678-cabf-4ab0-badc-b20a5a9a0c72",-79.91093,39.78474,"1950-05-11",237.84,"meters",-79.91093,39.78474,TRUE
"1003e8f2-676b-4a0c-afbe-491433111b16",-72.519538,42.372823,"1889-00-00",95.7,"meters",-72.519538,42.372823,TRUE
"1067d45c-f25a-415b-a767-2823b03e4ffd",-86.028225,39.201076,"2021-04-09",209.99,"meters",-86.028225,39.201076,TRUE
"108d330e-31ff-4156-81d7-58a37e0ea783",-77.013056,39.02,"1974-04-14",104.34,"meters",-77.013056,39.02,TRUE
"10b1be94-1017-4cb8-aba9-f37dddbd7653",-78.365307,38.2879,"1972-04-23",143.45,"meters",-78.365307,38.2879,TRUE
"10b75f01-faab-4da0-8218-534bcf2b467a",-79.47012,40.945047,"1954-04-17",361.31,"meters",-79.47012,40.945047,TRUE
"116006d6-51e8-4026-9a83-62846e54ba2d",-85.641337,36.51619,"1991-04-02",175.8,"meters",-85.641337,36.51619,TRUE
"1199614f-a835-435a-b114-21a3c6225ea8",-80.056447,41.063951,"1896-00-00",395.89,"meters",-80.056447,41.063951,TRUE
"11b8e931-a7cf-42a8-9505-871495192c60",-77.80064223,41.75665465,"2004-05-18",689.56,"meters",-77.80064223,41.75665465,TRUE
"125b89c4-7c6c-4358-ac49-b1fb23caf43e",-83.453686,38.276934,"1987-04-11",256.07,"meters",-83.453686,38.276934,TRUE
"1264cd39-8ad9-4688-baf4-cb23d52e05ef",-79.958493,40.559512,"1920-05-08",275.25,"meters",-79.958493,40.559512,TRUE
"126d96cc-9961-404c-bef9-58de81e46a80",-80.001579,40.797054,"1917-05-19",289.49,"meters",-80.001579,40.797054,TRUE
"1271184e-2a2d-4b7b-9c90-644417776ef4",-76.420439,42.44153,"1955-04-28",310.25,"meters",-76.420439,42.44153,TRUE
"12ce25e0-c0c5-4fe4-9676-027f02501973",-79.474418,41.511615,"1952-05-04",386.12,"meters",-79.474418,41.511615,TRUE
"12f7f5fc-e964-4d6b-b9a1-6217f220c98b",-86.119208,45.009429,"1973-05-20",182.03,"meters",-86.119208,45.009429,TRUE
"130065b2-6dbb-4509-a368-38a74ca83827",-75.289074,39.900113,"1896-05-03",28.57,"meters",-75.289074,39.900113,TRUE
"1320f1df-7cbe-4a21-85af-e7687ea28555",-76.939338,38.709397,"1978-04-20",11.53,"meters",-76.939338,38.709397,TRUE
"13216074-5291-4764-ba51-786f90fb0bb9",-79.078406,35.622759,"1964-04-09",65.94,"meters",-79.078406,35.622759,TRUE
"134029b3-34bf-4188-8a3b-3bd7a4ee8ba1",-80.190129,40.795387,"1938-04-20",265.32,"meters",-80.190129,40.795387,TRUE
"13b40ede-1e24-4740-83dc-f6ffd0e13965",-79.498343,41.006421,"1955-04-27",327.88,"meters",-79.498343,41.006421,TRUE
"13b68e95-d940-4c75-908a-ef8b5365bf8f",-82.541006,41.154498,"1898-04-15",290.09,"meters",-82.541006,41.154498,TRUE
"13c7080a-b97e-474b-b8e4-6f86fc9610a6",-73.087612,43.79812,"1921-05-05",130.95,"meters",-73.087612,43.79812,TRUE
"13dcf1a8-ce3f-4afe-bd06-d8573d9c283c",-77.11,38.8089,NA,17.5,"meters",-77.11,38.8089,TRUE
"14fcbfea-91e8-47d8-a0fd-3a9d498a740f",-79.095359,41.460339,"1996-05-17",521.36,"meters",-79.095359,41.460339,TRUE
"15171c10-8df9-4738-9d49-e102aed2e791",-76.593301,40.323473,"1967-04-22",172.31,"meters",-76.593301,40.323473,TRUE
"15ac7bb5-57f5-4183-80b3-b0e196fb881f",-79.955897,39.629526,"1923-04-18",271.12,"meters",-79.955897,39.629526,TRUE
"15b3f509-a0e6-43b3-b2df-465730dc6e76",-79.327812,39.832072,"1946-04-22",517.99,"meters",-79.327812,39.832072,TRUE
"15c487a0-629e-4acf-9d2a-4150bd4c3fec",-72.523143,42.380368,"1861-04-26",82.97,"meters",-72.523143,42.380368,TRUE
"15eb4ecb-1263-4345-a818-6489bf3e9270",-86.563056,39.037222,"1936-04-18",181.14,"meters",-86.563056,39.037222,TRUE
"168ce5c6-4a95-415d-ada1-dcc21bdc7301",-84.103785,35.533634,"1977-04-30",251.36,"meters",-84.103785,35.533634,TRUE
"16da1417-7a21-4b20-ab3c-925a6c9e653f",-79.856437,41.404084,"1963-05-13",298.46,"meters",-79.856437,41.404084,TRUE
"16deb584-b941-466d-b9d8-beb4edad45fb",-88.9057,37.5121,"1972-04-12",168.35,"meters",-88.9057,37.5121,TRUE
"1746bb93-8f67-4718-8b91-c71b51db0fbb",-79.205316,38.998999,"1952-05-04",315.28,"meters",-79.205316,38.998999,TRUE
"1767e7b6-e007-43a8-b50c-ee25ec0be237",-80.50902777777,40.44736111111,"2005-04-13",277.19,"meters",-80.50902777777,40.44736111111,TRUE
"17c78e07-fa25-4ff5-b801-35494dba670e",-74.0188888889,41.4166666667,"1991-04-23",158.63,"meters",-74.0188888889,41.4166666667,TRUE
"1842b5d1-3158-4985-b57f-4e2a4ddb13c9",-79.984787,40.414308,"1884-04-24",366.55,"meters",-79.984787,40.414308,TRUE
"18505f24-826b-447b-9251-0ed7e36abc49",-88.140892,35.691204,"2007-04-13",128.02,"meters",-88.140892,35.691204,TRUE
"1885683c-4b6d-4b48-a13b-f882ab220858",-88.06207,37.06922,"2010-04-17",118.35,"meters",-88.06207,37.06922,TRUE
"18875a8a-730d-4d77-b1d6-00dd3caf5bc9",-77.235074,38.98414,"1933-04-07",34.49,"meters",-77.235074,38.98414,TRUE
"18b9ebb9-b001-4084-aa27-df7a76b1a8ab",-74.4147222222,41.9763888889,"2010-04-28",728.81,"meters",-74.4147222222,41.9763888889,TRUE
"18d6004d-0dec-4400-8c9d-c34a835bb1ff",-76.932635,38.988291,"1994-04-05",14.88,"meters",-76.932635,38.988291,TRUE
"19253d46-91d3-4381-8532-f8279413a014",-73.55422,41.1005,"1981-04-21",59.24,"meters",-73.55422,41.1005,TRUE
