"uuid","geopoint.lon","geopoint.lat","eventdate","elevation","elev_units","coords.x1","coords.x2","optional"
"085b2473-ce8c-4821-ae3f-13c6c2d371b0",-88.058333,37.07,"2000-04-16",131.5,"meters",-88.058333,37.07,TRUE
"0b7c7cf8-f4b0-4d44-b158-faa0206bc091",-86.169656,39.839721,"1934-04-14",232.76,"meters",-86.169656,39.839721,TRUE
"0bd6e8ed-18d8-42c9-a78a-54e04d8a204e",-87.91245,42.16681,"2007-05-01",194.69,"meters",-87.91245,42.16681,TRUE
"115da096-4bca-495a-9fd8-d61beecdcb38",-91.992953,41.185571,"1987-05-05",236.18,"meters",-91.992953,41.185571,TRUE
"13ad896c-718f-464e-a4af-b24d38143de0",-91.496367,41.89428,"1969-05-20",255.63,"meters",-91.496367,41.89428,TRUE
"178f9d02-ffec-498e-91f9-911eb2db0925",-88.51483,41.68478,"2006-04-18",187.67,"meters",-88.51483,41.68478,TRUE
"1acde43c-933b-4a24-902f-9601fb7960a8",-86.859732,41.722335,"1999-05-21",178.07,"meters",-86.859732,41.722335,TRUE
"203a1be6-de4e-4ad2-b839-a1c82c55dc63",-89.10691,39.07022,"2011-04-20",165.13,"meters",-89.10691,39.07022,TRUE
"2233d60f-b41c-48d1-bf37-2ddd851dbd9d",-91.227841,36.441248,"1973-03-30",167.44,"meters",-91.227841,36.441248,TRUE
"2236e288-cca8-4c14-bda5-336b2a8e6b57",-88.0474,41.8155,"2007-04-23",222.81,"meters",-88.0474,41.8155,TRUE
"22f37c39-768a-4225-afef-da55db34e74f",-87.650052,41.850033,"1967-05-05",178.72,"meters",-87.650052,41.850033,TRUE
"23d0998f-3b8e-449c-964d-b5f0b1e036aa",-95.186664,38.810819,"1903-03-27",295.63,"meters",-95.186664,38.810819,TRUE
"26bcdc35-dc72-40c0-94d3-343d42396bbf",-89.345639,42.047861,"2005-05-17",207.31,"meters",-89.345639,42.047861,TRUE
"277c1e59-203a-4437-b786-d6862ec6facb",-88.87595,40.39761,"2011-06-01",232.74,"meters",-88.87595,40.39761,TRUE
"2b478b61-f225-4388-9bee-59ffb639acef",-90.482411,40.049903,"1996-05-13",160.01,"meters",-90.482411,40.049903,TRUE
"383f26dc-8e13-498c-a211-5939abcafdb9",-92.465654,42.720554,"1948-04-26",273.49,"meters",-92.465654,42.720554,TRUE
"3af99b3d-3ad1-42a1-86dd-388cb1ead15f",-86.8727,41.6034,"2004-04-12",236.21,"meters",-86.8727,41.6034,TRUE
"4902e242-22b5-41d4-be0e-32bfe8de8979",-92.417584,42.680726,"1979-05-24",282.48,"meters",-92.417584,42.680726,TRUE
"4a1a0d43-7caf-4ec8-9715-a6b7fc5017d5",-95.519968,38.860288,"1981-04-09",318.02,"meters",-95.519968,38.860288,TRUE
"4c78506c-df8f-4fa6-b49b-65b0f3a92998",-93.648832,42.028053,"1872-05-10",290.78,"meters",-93.648832,42.028053,TRUE
"4f590717-d1ab-475d-a338-2481165ba170",-88.047774,41.814823,"1941-05-01",227.32,"meters",-88.047774,41.814823,TRUE
"57cc6ff0-0e21-439d-af36-c722acabecc0",-88.038032,41.814682,"1972-05-01",220.84,"meters",-88.038032,41.814682,TRUE
"5b6c3205-127c-446f-884b-f046883f3370",-88.75492,38.7238,"2001-03-27",164.83,"meters",-88.75492,38.7238,TRUE
"5e1dfa51-8d6b-40c7-82fc-b768aac23639",-95.333333333,33.984166667,"1987-03-25",115.65,"meters",-95.333333333,33.984166667,TRUE
"610a8963-edd7-44e4-8559-9bdd10c62a1a",-93.617721,42.026352,"1881-05-13",281.29,"meters",-93.617721,42.026352,TRUE
"68d1d0af-e7a3-4409-b642-a6da57645b8b",-93.630177,42.041889,"1950-05-17",289.43,"meters",-93.630177,42.041889,TRUE
"737f17f3-7a93-42da-8cd0-4a1ab5eb7541",-88.51483,41.68478,"2006-04-18",187.67,"meters",-88.51483,41.68478,TRUE
"79a608c8-280e-4316-96d1-d10513a42075",-92.465654,42.720554,"1948-04-26",273.49,"meters",-92.465654,42.720554,TRUE
"7a927d86-7345-4817-999e-24aab544ed41",-89.53,44.52,"2015-05-02",333.64,"meters",-89.53,44.52,TRUE
"7ad6669d-66a9-44f0-9959-8e9ff63237bd",-90.08674942,40.37193033,"2004-04-26",151.54,"meters",-90.08674942,40.37193033,TRUE
"7b99620e-1c31-4560-9155-8db1c4e49f62",-92.394032,42.693258,"1956-04-20",291.56,"meters",-92.394032,42.693258,TRUE
"7be6ea2e-357f-4d83-8e22-b79a23732fee",-83.687456,43.012527,NA,229.74,"meters",-83.687456,43.012527,TRUE
"8f784ae5-5c84-4130-a990-907aff2183d1",-88.05715,41.592813,"1859-05-07",178.04,"meters",-88.05715,41.592813,TRUE
"8fb65dde-91c7-4f27-9da5-c1744bf35f2a",-92.275433,36.212635,"1987-04-05",173.4,"meters",-92.275433,36.212635,TRUE
"9125e1b1-5b0f-40c7-9f5f-9124a83683e2",-86.1725,39.838889,"1934-04-14",234.21,"meters",-86.1725,39.838889,TRUE
"9550c276-3960-4dc7-870b-b5298c97d51e",-92.461852,42.719967,"1948-04-26",274.14,"meters",-92.461852,42.719967,TRUE
"99e8cd56-3b69-4196-bc82-2aaa8872113a",-88.047312,41.814649,"1923-05-05",230.96,"meters",-88.047312,41.814649,TRUE
"9aae5c0b-785f-4e04-bfd8-59d5a9b86215",-72.7006,41.3347,"1984-04-28",39.64,"meters",-72.7006,41.3347,TRUE
"9b18816f-2414-48a1-8786-2b57994c2cb0",-89.086,39.30345,"2008-04-16",189.38,"meters",-89.086,39.30345,TRUE
"aa00e545-82c2-48a3-b628-20dfad3b11f7",-89.4802778,37.6686111,"1981-04-25",112.18,"meters",-89.4802778,37.6686111,TRUE
"aae3ca64-280d-42c1-bb0c-54dca7ae4f65",-92.388566,42.689499,"1983-05-26",310.76,"meters",-92.388566,42.689499,TRUE
"ac4b7c16-7e11-4871-bca9-5ec502249478",-93.834216,36.581005,"1990-04-12",310.23,"meters",-93.834216,36.581005,TRUE
"ae496b45-a781-4b1e-8d9c-91fd962b1496",-88.129954,41.811417,"1896-04-17",228.27,"meters",-88.129954,41.811417,TRUE
"b00fda8c-b655-4c5c-8024-30de19104fa3",-93.61972,42.03472,"1881-05-10",288.89,"meters",-93.61972,42.03472,TRUE
"bf4e92dd-4b15-4c46-8809-497a25e03ff8",-93.669028,42.041702,"1950-05-06",280.46,"meters",-93.669028,42.041702,TRUE
"cb5eb8a3-b503-481a-ae17-5597652214f5",-95.802684,36.214047,"1983-04-10",204.58,"meters",-95.802684,36.214047,TRUE
"cb67b581-9cec-4aba-8c2a-1af0d1917e92",-87.6394444,34.7733333,"1969-04-09",166.07,"meters",-87.6394444,34.7733333,TRUE
"ebe90b6c-08be-47f5-915d-2e9cac6a2098",-89.52688,40.71314,"2014-05-28",149.27,"meters",-89.52688,40.71314,TRUE
"ed77ce7b-fde9-49f0-b2d0-25c4886e2182",-91.503698,41.907006,"1960-04-28",241.3,"meters",-91.503698,41.907006,TRUE
"eedfaa82-91a9-4e5f-b3c6-dc8feac82de2",-90.357904,41.477493,"1950-05-08",181.01,"meters",-90.357904,41.477493,TRUE
"f44a90e7-6cb8-4f48-9adc-8dbd1aa54460",-94.574017,33.946443,"1979-03-24",109.24,"meters",-94.574017,33.946443,TRUE
"f8ba67d2-017b-4263-8123-17ea5db54232",-89.345639,42.047861,"2005-05-17",207.31,"meters",-89.345639,42.047861,TRUE
"fd478e66-03e6-44f3-b3d3-e78ff73e042d",-88.51483,41.68478,"2006-05-16",187.67,"meters",-88.51483,41.68478,TRUE
