"uuid","geopoint.lon","geopoint.lat","eventdate","elevation","elev_units","coords.x1","coords.x2","optional"
"003143a4-e4f1-4bd5-8aae-50fca224da36",-72.97328,44.09501,"0000-00-00",387.65,"meters",-72.97328,44.09501,TRUE
"004f2bcc-02d5-4dff-b964-38a0450e1572",-76.902858,39.007388,"1992-05-01",21.62,"meters",-76.902858,39.007388,TRUE
"004fa64c-9ea3-4f56-a6bd-dca3a2297f4b",-76.16235,39.952655,"1935-05-19",188.17,"meters",-76.16235,39.952655,TRUE
"00934dc5-0a7d-4e1e-b55e-16bbf92fc69e",-81.214256,34.704861,"1993-05-01",164.73,"meters",-81.214256,34.704861,TRUE
"00bc2087-3fc5-4d0b-89f8-4d40a7f628f0",-87.314796,39.521504,"2021-04-26",174.91,"meters",-87.314796,39.521504,TRUE
"00c4d226-26a1-4e78-82fc-e27e2b5b8d43",-95.503008,30.30021,"1984-03-24",43.34,"meters",-95.503008,30.30021,TRUE
"00e29a40-5c45-43dc-aea7-029468d3624e",-72.9216,41.396,"1961-05-24",60.55,"meters",-72.9216,41.396,TRUE
"00ec0989-93ef-4c31-9c85-9021502efc71",-77.845547,40.794476,"1930-05-17",323.05,"meters",-77.845547,40.794476,TRUE
"00f32dd4-9e52-460a-bbd7-c3459b768c2f",-74.927778,40.340278,"2002-06-19",65.12,"meters",-74.927778,40.340278,TRUE
"01007b84-43e2-47a2-a5d5-bb77f457ce9e",-75.309036,39.46669,"1927-07-24",33.91,"meters",-75.309036,39.46669,TRUE
"011ae80c-dd74-4d87-9bf7-4476089b69d1",-76.437994,42.455073,"1904-05-18",284.78,"meters",-76.437994,42.455073,TRUE
"01461bf9-02ae-4761-8a97-6763c5aee6c9",-76.581894,41.396421,"1944-07-26",510.03,"meters",-76.581894,41.396421,TRUE
"017a17d4-33b7-4530-a744-2a75827189dd",-76.574291,39.011732,"1977-04-22",33.19,"meters",-76.574291,39.011732,TRUE
"01ad3c9e-60af-4cae-bbc9-f207104404be",-78.31327,40.123866,"1961-05-30",278.91,"meters",-78.31327,40.123866,TRUE
