"uuid","geopoint.lon","geopoint.lat","eventdate","elevation","elev_units","coords.x1","coords.x2","optional"
"001d9b4d-5002-4446-8def-1130133725cf",-94.355834767,38.6461615282,"1966-05-14",271.37,"meters",-94.355834767,38.6461615282,TRUE
"01663083-ea79-4f76-9ba2-cb6aab84dd09",-85.418913,38.749999,"1922-05-04",254.11,"meters",-85.418913,38.749999,TRUE
"01eb42a8-85d7-42ce-83ab-881478521364",-90.98889,36.92694,"1972-05-07",178.15,"meters",-90.98889,36.92694,TRUE
"022948ed-54b0-43d0-8dab-656585ae1d6e",-93.197106,36.060189,"1991-04-07",307.25,"meters",-93.197106,36.060189,TRUE
"0229a413-124b-4ecc-b4a4-1d4553a36d0a",-94.82616,37.72209,"1971-05-20",281.19,"meters",-94.82616,37.72209,TRUE
"0257f974-d0e4-484d-bfde-ab0d01327e6a",-94.782381,36.143139,"1948-05-01",280.43,"meters",-94.782381,36.143139,TRUE
"028a80ac-ab24-41b3-a6a5-4bd40e2bb80c",-77.0767,38.9711,NA,108.37,"meters",-77.0767,38.9711,TRUE
"03334e5c-b94b-4767-b48a-4d0715f2dbd9",-94.85518,37.751646,"1991-04-30",277.49,"meters",-94.85518,37.751646,TRUE
"03421487-77b6-44b9-91a6-96c3791e3db9",-95.7,37.3167,"1937-07-12",241.89,"meters",-95.7,37.3167,TRUE
"03c556c9-ce78-4419-a19a-fba238b86e50",-95.71554,37.30888,"1982-04-19",253.68,"meters",-95.71554,37.30888,TRUE
"04ca74a7-832b-4f92-8864-a0dfaeebb316",-92.480926,42.696659,"1985-04-29",305.14,"meters",-92.480926,42.696659,TRUE
"05bbb6f3-6f9e-4c32-b818-b2411d41623d",-90.98889,36.92694,"1972-05-06",178.15,"meters",-90.98889,36.92694,TRUE
"070646ed-2bb5-45f7-9382-be808abd4c9a",-94.804664,36.871157,"1958-05-17",255.76,"meters",-94.804664,36.871157,TRUE
"0aeaf3e8-692a-4a20-9c78-c1fe5625a778",-95.70806,37.26767,"1965-05-07",232.1,"meters",-95.70806,37.26767,TRUE
"0bbf78e4-5a3f-419d-a0ad-2258fa625a5c",-77.826039,39.496092,"1982-05-02",101.97,"meters",-77.826039,39.496092,TRUE
"0ce5c2a0-ae16-4eb5-af4c-dcd51521f903",-94.827778,37.617778,"1950-05-04",303.66,"meters",-94.827778,37.617778,TRUE
"0d311682-049d-4f03-b2b8-af3805ab8c70",-94.32,37.3,"1996-05-25",293.18,"meters",-94.32,37.3,TRUE
