"uuid","geopoint.lon","geopoint.lat","eventdate","elevation","elev_units","coords.x1","coords.x2","optional"
"0023c77a-0daf-4ae3-87fa-5dd4785484d6",-77.7456611,39.4728778,"1971-04-15",149.76,"meters",-77.7456611,39.4728778,TRUE
"004c8107-e2cb-4e3d-bebe-a720170e0f48",-80.046608,39.747431,"1950-04-20",266.73,"meters",-80.046608,39.747431,TRUE
"005a684e-2462-461f-9bcf-bcb6a31b8207",-75.395181,40.601487,"1965-06-10",113.53,"meters",-75.395181,40.601487,TRUE
"008019cc-b89a-40bf-8fab-4168c32923bb",-92.694561,32.791299,"1970-03-15",33.95,"meters",-92.694561,32.791299,TRUE
"0091fc4d-985d-48be-9c77-ccf8d9fd1ea5",-73.083166,43.802473,NA,146.45,"meters",-73.083166,43.802473,TRUE
"00a83bec-121b-4ada-b004-32f8f1e9d61e",-88.938738,34.205819,NA,114.69,"meters",-88.938738,34.205819,TRUE
"00ce8526-86b5-413a-be9e-8d8d0b5b5541",-75.09578,40.440811,"1932-05-15",62.82,"meters",-75.09578,40.440811,TRUE
"00e60389-d434-4758-a209-c1f914c6202d",-77.095991,39.017052,"1970-04-25",64.73,"meters",-77.095991,39.017052,TRUE
"010398ac-5bdb-4c2c-b803-37120a86548d",-77.0367,38.895,NA,6.86,"meters",-77.0367,38.895,TRUE
"013a80d5-9814-4e43-af30-f6996a59a73a",-75.508594,40.62537,"1921-04-10",95.7,"meters",-75.508594,40.62537,TRUE
"01aad41c-bf8c-4453-882f-67ae78b1633f",-78.049684,39.848913,"1960-04-30",204.25,"meters",-78.049684,39.848913,TRUE
"01aceab6-7b74-49a1-9e39-69885db0ae0f",-90.2186,44.9025,"2015-04-29",386,"meters",-90.2186,44.9025,TRUE
"0238a90d-7b8c-4a5e-999c-54ec10a84d81",-83.0655220332,34.7545295462,"1971-04-05",304.92,"meters",-83.0655220332,34.7545295462,TRUE
"02601c56-c911-424e-b690-5b63fac087c7",-69.44123,44.51701,"1978-05-09",126.7,"meters",-69.44123,44.51701,TRUE
"02722996-60c3-4255-8f97-16f4b5ad2662",-80.001095,40.311958,"1965-05-02",315.84,"meters",-80.001095,40.311958,TRUE
"02c50781-30ca-4368-b612-3b566c3e337b",-85.2269,30.7744,"1983-03-15",50.93,"meters",-85.2269,30.7744,TRUE
"02dee335-1704-4b33-a0a8-4ca0e307b6ae",-90.66833333,37.02444444,"2003-05-08",167.56,"meters",-90.66833333,37.02444444,TRUE
"0315f44f-1fd5-47b0-93a8-12325c6a55f0",-91.419755,41.923357,"1905-04-09",276.87,"meters",-91.419755,41.923357,TRUE
"034fc8af-3116-4369-beb0-8c908ccb4820",-84.9833,29.7256,"1955-02-25",3.42,"meters",-84.9833,29.7256,TRUE
"03729559-f000-4834-8126-8f18645d5a25",-74.559785,40.600782,"1936-04-18",95.88,"meters",-74.559785,40.600782,TRUE
"0409ab73-8ee3-4c43-8cc3-666a54adeced",-88.074788,41.801141,"1917-05-01/1917-05-31",205.06,"meters",-88.074788,41.801141,TRUE
"041b4f3e-dffb-4bd8-bdc1-4ad2cfdb3a4d",-85.400164,40.355686,"1916-04-30",275.33,"meters",-85.400164,40.355686,TRUE
"047ab66c-bd47-4f2e-9ba6-d791ec9a49a7",-90.881036,41.469357,"1952-04-19",181.07,"meters",-90.881036,41.469357,TRUE
"04c4022b-e077-495f-88ae-23b1865df835",-75.53857,42.81483,"2007-08-03",368.02,"meters",-75.53857,42.81483,TRUE
"04ef2aa8-cb89-48cb-bc59-bf79cff63fe8",-75.490739,40.628153,"1916-00-00",83.93,"meters",-75.490739,40.628153,TRUE
"055e4d7d-ab1f-4ecc-81c4-596f3e438ba4",-72.74564,44.38513,"1969-05-07",179.47,"meters",-72.74564,44.38513,TRUE
"0581c1b6-d36b-424b-9ee4-08ecbe7bef5c",-90.57678,41.52914,NA,203.8,"meters",-90.57678,41.52914,TRUE
"0590ec61-8c32-48a6-beb9-e6b7806cb092",-75.933333,40.333333,"1832",63.56,"meters",-75.933333,40.333333,TRUE
