"uuid","geopoint.lon","geopoint.lat","eventdate","elevation","elev_units","coords.x1","coords.x2","optional"
"001282c3-6156-47d4-a58b-450b8c66149c",-78.196619,40.640678,"1868-04-05",259.65,"meters",-78.196619,40.640678,TRUE
"0022b1d9-22d5-4218-ae99-e2fe3d5d5ef1",-80.31368,39.855354,"1925-04-12",305.01,"meters",-80.31368,39.855354,TRUE
"0092dadd-069b-4f28-bf22-6752408f9132",-94.64134,37.04393,"1969-04-25",256.12,"meters",-94.64134,37.04393,TRUE
"00a1b473-06ea-4efd-b34a-5399674a3b85",-76.765329,39.077062,"2012-03-20",28.97,"meters",-76.765329,39.077062,TRUE
"00ac55ec-58ae-46f0-8241-e12784cd93cc",-85.837604,38.81995,"1921-03-25",163.94,"meters",-85.837604,38.81995,TRUE
"00c13c36-5066-41a4-a8e2-cd249077b1e6",-77.7111,38.8242,NA,118.29,"meters",-77.7111,38.8242,TRUE
"00caf9e3-30e5-48ee-8bcc-e4908c2659d3",-95.18636,38.804001,"1957-04-21",350.3,"meters",-95.18636,38.804001,TRUE
"0117e44c-bca1-4ddd-9216-7b43fd844f85",-79.87714,40.43176,"1885-05-20",321.98,"meters",-79.87714,40.43176,TRUE
"012aef25-04ca-424d-968f-213ada0192d9",-76.8119861,39.4108722,"1980-05-04",156.99,"meters",-76.8119861,39.4108722,TRUE
"01664c98-9d0a-4224-b276-2fa3494c8257",-79.23611,40.18194,"1992-05-13",426.62,"meters",-79.23611,40.18194,TRUE
"01ab4b5e-e75d-4905-b6c2-57db89043e2b",-83.67488,37.88234,"2017-03-24",229.82,"meters",-83.67488,37.88234,TRUE
"01e724b7-2bfb-462c-af84-93c22bc4c91c",-79.76944,40.17222,"1992-04-10",297.57,"meters",-79.76944,40.17222,TRUE
"0262d3b1-af33-4660-9dbc-3ebd7ff63bb3",-80.31267,40.6937,"1930-05-03",237.76,"meters",-80.31267,40.6937,TRUE
"0273f409-e4c6-4db9-bdb2-be42ee6bbd40",-92.6475,45.3963889,"2011-04-29",254.54,"meters",-92.6475,45.3963889,TRUE
"02761982-b83f-494b-a645-2cb758c8e55d",-76.9637972,39.106675,"1958-05-12",135.29,"meters",-76.9637972,39.106675,TRUE
"02e59b7a-af12-4b36-8f5f-b91fe243219c",-77.280967,38.935883,"2018-04-21",90.27,"meters",-77.280967,38.935883,TRUE
