Species	Variable	N	Min	Max	Mean	SD
Anemone quinquefolia	N All Specimens	728	 	 	 	 
Anemone quinquefolia	N Reproductive Specimens with Image	396	 	 	 	 
Anemone quinquefolia	N Filtered Specimens	350	 	 	 	 
Anemone quinquefolia	Response Variable: DOY	350	96	157	126.225714285714	10.3803275162717
Anemone quinquefolia	Covariate: AnnualMonthlyAverageTemp	350	4.60425529566904	15.5290257881085	9.53699702415128	1.628809116893
Anemone quinquefolia	Covariate: Elevation	350	0.17	997.04	268.568285714286	202.9376866206
Anemone quinquefolia	Covariate: FirstQuarterMonthlyAverageTemp	350	-8.07385047276815	7.00488806515932	-0.927911300286651	2.45186230456382
Anemone quinquefolia	Covariate: Latitude	350	34.497198	46.5751	40.8548386226829	1.2588482643513
Anemone quinquefolia	Covariate: SpringMonthlyAverageTemp	350	3.67937994003296	14.4261155302326	8.51377576429929	1.84512953496326
Anemone quinquefolia	Covariate: Year	350	1859.27671232877	2021.27397260274	1947.82855410478	37.3997126594978
Camassia scilloides	N All Specimens	436	 	 	 	 
Camassia scilloides	N Reproductive Specimens with Image	168	 	 	 	 
Camassia scilloides	N Filtered Specimens	144	 	 	 	 
Camassia scilloides	Response Variable: DOY	144	88	164	124.763888888889	17.7468547833371
Camassia scilloides	Covariate: AnnualMonthlyAverageTemp	144	7.09943765231098	21.0191992614418	13.3720731089944	3.14964512737416
Camassia scilloides	Covariate: Elevation	144	21.83	439.31	200.229652777778	89.5781571263013
Camassia scilloides	Covariate: FirstQuarterMonthlyAverageTemp	144	-7.72150244315465	14.8403556148211	3.37197237137567	4.58922237965031
Camassia scilloides	Covariate: Latitude	144	30.505142	42.941574	37.8081328159028	3.11007348963011
Camassia scilloides	Covariate: SpringMonthlyAverageTemp	144	6.13180322448413	20.6508866523703	12.8959830669962	3.46193309475449
Camassia scilloides	Covariate: Year	144	1871.37260273973	2021.34794520548	1961.99856744517	36.6234686884535
Cardamine concatenata	N All Specimens	1133	 	 	 	 
Cardamine concatenata	N Reproductive Specimens with Image	315	 	 	 	 
Cardamine concatenata	N Filtered Specimens	282	 	 	 	 
Cardamine concatenata	Response Variable: DOY	282	45	148	105.482269503546	18.1616320918654
Cardamine concatenata	Covariate: AnnualMonthlyAverageTemp	282	4.55289860690633	20.1956220977008	11.9852144390996	2.85717050848461
Cardamine concatenata	Covariate: Elevation	282	0.29	619.13	155.921595744681	103.007753458337
Cardamine concatenata	Covariate: FirstQuarterMonthlyAverageTemp	282	-9.17049928506215	14.1740975876649	1.8566971404751	4.34409064748247
Cardamine concatenata	Covariate: Latitude	282	30.5797452854	46.56887	39.2495418080025	2.77672284808864
Cardamine concatenata	Covariate: SpringMonthlyAverageTemp	282	3.52759208281835	21.2149184942245	11.3207178406184	3.15704758274521
Cardamine concatenata	Covariate: Year	282	1871.26575342466	2021.27397260274	1965.65840116818	36.1419258952534
Claytonia virginica	N All Specimens	1814	 	 	 	 
Claytonia virginica	N Reproductive Specimens with Image	1057	 	 	 	 
Claytonia virginica	N Filtered Specimens	940	 	 	 	 
Claytonia virginica	Response Variable: DOY	940	52	156	113.828723404255	17.5806501382752
Claytonia virginica	Covariate: AnnualMonthlyAverageTemp	940	5.11747101694345	19.5990787744522	11.6387970861183	2.23777845037015
Claytonia virginica	Covariate: Elevation	940	0.5	677.23	184.815159574468	123.122299082191
Claytonia virginica	Covariate: FirstQuarterMonthlyAverageTemp	940	-9.009707848231	12.9995783964793	1.45891470494581	3.25602393951783
Claytonia virginica	Covariate: Latitude	940	31.747875	44.9992	39.5069755790121	1.87815141099135
Claytonia virginica	Covariate: SpringMonthlyAverageTemp	940	3.76024480660756	20.7096005280813	10.9036819527798	2.58706879232403
Claytonia virginica	Covariate: Year	940	1850.38630136986	2021.33150684932	1959.95785109409	35.1062258900071
Collinsia verna	N All Specimens	231	 	 	 	 
Collinsia verna	N Reproductive Specimens with Image	144	 	 	 	 
Collinsia verna	N Filtered Specimens	124	 	 	 	 
Collinsia verna	Covariate: Response Variable: DOY	124	100	155	127.008064516129	10.6941941301514
Collinsia verna	Covariate: AnnualMonthlyAverageTemp	124	8.0110150873661	14.5204041997592	11.1509319458955	1.26805108614479
Collinsia verna	Covariate: Elevation	124	112.41	499.18	267.674838709677	72.6926826087181
Collinsia verna	Covariate: FirstQuarterMonthlyAverageTemp	124	-3.64933013916016	5.48660399516424	0.895129109482451	2.00451208837417
Collinsia verna	Covariate: Latitude	124	36.29608	41.888071	39.8418281903044	1.06750004817068
Collinsia verna	Covariate: SpringMonthlyAverageTemp	124	7.02136352658272	14.4529598156611	10.3361104689338	1.65488436020924
Collinsia verna	Covariate: Year	124	1869.40273972603	2021.33150684932	1960.94174019448	38.6971811464883
Dicentra cucullaria	N All Specimens	1615	 	 	 	 
Dicentra cucullaria	N Reproductive Specimens with Image	820	 	 	 	 
Dicentra cucullaria	N Filtered Specimens	676	 	 	 	 
Dicentra cucullaria	Response Variable: DOY	676	72	148	109.468934911243	12.7763872267402
Dicentra cucullaria	Covariate: AnnualMonthlyAverageTemp	676	3.96335958627363	16.9651322240631	11.0667185486908	2.20059562307166
Dicentra cucullaria	Covariate: Elevation	676	-0.22	1257.31	218.183150887574	198.007250726157
Dicentra cucullaria	Covariate: FirstQuarterMonthlyAverageTemp	676	-9.56774274508158	8.92171148955822	1.08773274387553	3.14395190579183
Dicentra cucullaria	Covariate: Latitude	676	34.31739	47.611505	39.9070386918097	2.39671610754786
Dicentra cucullaria	Covariate: SpringMonthlyAverageTemp	676	2.40985242525736	17.3918230136236	10.2921262890453	2.56669796560905
Dicentra cucullaria	Covariate: Year	676	1862.29589041096	2021.31232876712	1955.59283431908	34.0693602269298
Enemion biternatum	N All Specimens	433	 	 	 	 
Enemion biternatum	N Reproductive Specimens with Image	115	 	 	 	 
Enemion biternatum	N Filtered Specimens	110	 	 	 	 
Enemion biternatum	Response Variable: DOY	110	40	151	112.118181818182	21.8307635046509
Enemion biternatum	Covariate: AnnualMonthlyAverageTemp	110	5.17091294750571	20.1609383132309	11.924985840228	3.0055108976135
Enemion biternatum	Covariate: Elevation	110	24.3	424.22	204.011636363636	77.4747416729978
Enemion biternatum	Covariate: FirstQuarterMonthlyAverageTemp	110	-7.91416831811269	15.6670668919881	1.62016208054441	4.57317589964621
Enemion biternatum	Covariate: Latitude	110	30.4584597305	45.2505556	38.8613132865964	2.88488952018185
Enemion biternatum	Covariate: SpringMonthlyAverageTemp	110	3.66034489870071	21.0585074424744	11.3183897027012	3.29245266894822
Enemion biternatum	Covariate: Year	110	1883.41095890411	2021.31232876712	1947.73150086084	34.9059497578677
Erythronium americanum	N All Specimens	896	 	 	 	 
Erythronium americanum	N Reproductive Specimens with Image	547	 	 	 	 
Erythronium americanum	N Filtered Specimens	509	 	 	 	 
Erythronium americanum	Response Variable: DOY	509	62	148	108.952848722986	14.5872927907577
Erythronium americanum	Covariate: AnnualMonthlyAverageTemp	509	5.8855680708463	18.4810383686175	11.3903162173552	2.36437120146576
Erythronium americanum	Covariate: Elevation	509	-0.22	1204.72	215.731394891945	163.458949226115
Erythronium americanum	Covariate: FirstQuarterMonthlyAverageTemp	509	-7.24108409881592	11.6423266728719	1.37559421173374	3.3837010915696
Erythronium americanum	Covariate: Latitude	509	32.54404	45.033333	39.4415155888856	2.21482849494886
Erythronium americanum	Covariate: SpringMonthlyAverageTemp	509	4.04649480183919	17.9010802209377	10.6160973932279	2.7645945490666
Erythronium americanum	Covariate: Year	509	1869.3095890411	2020.25409836066	1965.50182891058	31.7108974669394
Mertensia virginica	N All Specimens	711	 	 	 	 
Mertensia virginica	N Reproductive Specimens with Image	459	 	 	 	 
Mertensia virginica	N Filtered Specimens	411	 	 	 	 
Mertensia virginica	Response Variable: DOY	411	73	158	116.892944038929	14.1510397392467
Mertensia virginica	Covariate: AnnualMonthlyAverageTemp	411	6.32158968038857	15.4088273569942	11.3858096777935	1.67000467686133
