taxon.name	variable	type	covariate	posterior.prob.neg.slope	standard.linear.model	in.95CI	mean	median	sd	mad	q2.5	q97.5	rhat	ess bulk	ess tail
Anemone quinquefolia	anchor	onset (O)					117.3367575	117.3515	0.512720808872346	0.498894900000001	116.325925	118.333025	1.00065421248223	5315.52419778979	2940.53796007582
Anemone quinquefolia	anchor	duration (D)					13.83136835	13.827	0.389241300777339	0.39533529	13.0862825	14.6002375	1.00121228745952	3144.56230661424	2881.25220190279
Anemone quinquefolia	anchor	cessation (C)					131.16813775	131.1645	0.548508320920902	0.536701200000013	130.09995	132.227	1.00261614727686	4467.91149249847	2791.5755522248
Anemone quinquefolia	anchor	observed (T)					124.2524525	124.2485	0.493964855595407	0.487775400000001	123.2849	125.240125	1.0026699700413	5171.25108258632	2689.82739723009
Anemone quinquefolia	anchor	first onset (Ok1): N=500					93.766385625	93.8117	1.51439174525629	1.5078042	90.5734625	96.5914075	1.00399425002662	3970.60684435223	3166.29140631922
Anemone quinquefolia	anchor	last cessation (CkN): N=500					154.73850975	154.6945	1.29324790351267	1.297275	152.353875	157.43745	1.00168354516596	3739.6836022227	2966.816041832
Anemone quinquefolia	intercept	onset (O)					144.5109335	144.4035	41.940707786507	42.3104388	63.2299175	227.397175	1.00148705739636	3968.05760945627	2849.26642161808
Anemone quinquefolia	intercept	duration (D)					83.2702888595	82.93675	28.7698104556849	28.6312299	25.6738525	139.558425	1.00006960320884	3934.16875180847	3265.21345810143
Anemone quinquefolia	intercept	cessation (C)					227.7812147	227.253	44.2703481540523	44.2170624	143.2977	315.711725	1.0017745440915	4905.28216895949	2948.39399540721
Anemone quinquefolia	intercept	observed (T)			171.825757716151	TRUE	186.146080275	185.9505	40.6511753033118	40.9701684	106.777375	265.02015	1.00234740975858	4558.51908874467	3199.70625573848
Anemone quinquefolia	intercept	first onset (Ok1): N=500					120.9405498955	121.12	42.0692403504598	42.6632976	39.08776	204.151725	1.00135617164863	3958.16452467259	2870.95621690005
Anemone quinquefolia	intercept	last cessation (CkN): N=500					251.3516011	251.3685	44.1845957082408	44.1006783	167.346225	339.79825	1.00183297019659	4933.74673958529	2880.65787066117
Anemone quinquefolia	slope	onset (O)	SpringMonthlyAverageTemp	1			-4.599718655	-4.585315	0.589622824116249	0.593306868	-5.79252825	-3.469108	0.999881110185194	3307.38517071792	2679.91982095779
Anemone quinquefolia	slope	onset (O)	Latitude	0.94225			-1.1868019441855	-1.17799	0.754093990746135	0.7394971584	-2.6844165	0.2965924	1.00024301205726	2661.46326875373	2533.17877223103
Anemone quinquefolia	slope	onset (O)	Elevation	0.85675			-0.0044046479682275	-0.00437098	0.00424330870111828	0.004173652434	-0.0126684225	0.0039000075	1.00123981292218	1971.12071920184	2538.38450435733
Anemone quinquefolia	slope	onset (O)	Year	0.13875			0.01608584694635	0.01577145	0.0151042311543822	0.015324020166	-0.01307196	0.045093635	1.00034285337258	3501.35684601943	2758.6089697131
Anemone quinquefolia	slope	onset (O)	AnnualMonthlyAverageTemp	0.00225			3.013957769925	3.03559	1.16332115290834	1.168488951	0.801012675	5.3658715	1.00224637375009	1715.62641265604	2418.02304265549
Anemone quinquefolia	slope	onset (O)	FirstQuarterMonthlyAverageTemp	0.99975			-1.762309272	-1.7617	0.464303435654089	0.471637299	-2.67454	-0.849045925	1.00407896449638	2339.21690237337	2580.85431542284
