Replicate	SampleSize	ScenarioNumber	True_Slope_meanOnset	True_Intercept_meanOnset	True_Anchor_meanOnset	True_Slope_meanDuration	True_Intercept_meanDuration	True_Anchor_meanDuration	True_Sigma	Theor_Slope_meanObserved	Theor_Intercept_meanObserved	Theor_Slope_meanCessation	Theor_Intercept_meanCessation	TrueObs_meanOnset	TrueObs_meanDuration	Theor_meanOnset	Theor_meanDuration	Hyper_Mean_Slope_meanOnset	Hyper_SD_Slope_meanOnset	Hyper_Mean_Slope_meanDuration	Hyper_SD_Slope_meanDuration	Hyper_Mean_Anchor_meanOnset	Hyper_SD_Anchor_meanOnset	Hyper_Mean_Anchor_meanDuration	Hyper_SD_Anchor_meanDuration	Hyper_Mean_Sigma	Hyper_SD_Sigma	Est_SR_Slope_meanObserved	Est_SR_Intercept_meanObserved	Est_QR_Slope_meanQ10	Est_QR_Intercept_meanQ10	Est_QR_Slope_meanQ50	Est_QR_Intercept_meanQ50	Est_QR_Slope_meanQ90	Est_QR_Intercept_meanQ90	Est_Stan_Slope_meanOnset	Est_Stan_Slope_meanOnset_q2.5	Est_Stan_Slope_meanOnset_q97.5	Est_Stan_Intercept_meanOnset	Est_Stan_Intercept_meanOnset_q2.5	Est_Stan_Intercept_meanOnset_q97.5	Est_Stan_Anchor_meanOnset	Est_Stan_Anchor_meanOnset_q2.5	Est_Stan_Anchor_meanOnset_q97.5	Est_Stan_Slope_meanDuration	Est_Stan_Slope_meanDuration_q2.5	Est_Stan_Slope_meanDuration_q97.5	Est_Stan_Intercept_meanDuration	Est_Stan_Intercept_meanDuration_q2.5	Est_Stan_Intercept_meanDuration_q97.5	Est_Stan_Anchor_meanDuration	Est_Stan_Anchor_meanDuration_q2.5	Est_Stan_Anchor_meanDuration_q97.5	Est_Stan_Sigma	Est_Stan_Sigma_q2.5	Est_Stan_Sigma_q97.5	Number_Divergences
999	500	6	-0.77099	190.98092	182.50000	2.15837	54.31675	78.05886	7.00000	0.30819	218.13930	1.38738	245.29767	182.72166	78.86224	184.21140	73.26785	-0.20199	5.66000	1.25929	1.06588	189.37088	14.00000	61.83984	14.00000	7.00000	3.50000	0.28952	217.84574	-0.20199	191.54833	0.22383	216.77196	1.05731	239.81268	-0.27675	-0.41608	-0.14244	192.18184	190.41997	193.94315	189.19843	188.15787	190.22602	1.36458	1.23783	1.49573	42.67254	41.00347	44.40231	57.38303	56.34899	58.44218	15.13055	13.38004	16.95998	0
999	500	5	-5.45885	242.54738	182.50000	1.16035	52.32069	65.08451	7.00000	-4.87868	268.70772	-4.29851	294.86807	180.71771	65.14638	191.19129	63.23707	-5.13827	5.66000	0.63379	1.06588	188.54560	14.00000	51.59085	14.00000	7.00000	3.50000	-4.81968	268.60388	-5.13827	247.16228	-4.98790	269.69776	-4.50449	291.52297	-5.17776	-5.31403	-5.04075	247.09892	245.25997	248.97508	188.03183	187.03995	189.02122	0.72045	0.59043	0.85246	37.95484	36.27098	39.67620	46.17363	45.20590	47.19884	13.42879	11.90356	15.06804	0
999	500	4	-2.69849	212.18336	182.50000	-1.57842	86.84315	69.48049	7.00000	-3.48770	255.60494	-4.27691	299.02651	181.93940	69.46629	187.75714	72.55554	-2.90886	5.66000	-1.05135	1.06588	187.64964	14.00000	56.29340	14.00000	7.00000	3.50000	-3.40534	253.25665	-2.90886	219.79780	-3.38625	252.14697	-3.96021	287.71052	-2.88517	-3.02021	-2.75018	219.11078	217.32900	220.92110	187.22436	186.22698	188.20505	-1.13441	-1.26387	-1.00858	63.75079	61.98175	65.53842	51.21351	50.21732	52.19441	13.33196	11.83546	14.92277	0
999	500	3	0.75208	174.22712	182.50000	-1.98008	86.03984	64.25898	7.00000	-0.23796	217.24704	-1.22800	260.26696	182.36431	65.38489	180.66035	69.10242	0.52849	5.66000	-1.49390	1.06588	187.25534	14.00000	55.12468	14.00000	7.00000	3.50000	-0.30194	218.20401	0.52849	181.67770	-0.43302	220.41805	-0.96540	252.56882	0.55426	0.42316	0.68064	181.06275	179.34785	182.79810	186.91237	185.92298	187.90807	-1.65086	-1.77435	-1.52704	67.42796	65.77758	69.11453	50.00490	49.05570	50.97939	12.81252	11.39878	14.29815	0
999	500	2	4.91914	128.38946	182.50000	-1.53538	86.92924	70.04009	7.00000	4.15145	171.85408	3.38376	215.31871	181.24421	70.30484	171.53136	73.46365	4.36598	5.66000	-0.66464	1.06588	190.35053	14.00000	55.85259	14.00000	7.00000	3.50000	4.05935	173.05410	4.36598	143.32801	3.92197	174.44652	3.70134	206.33890	4.43508	4.29954	4.56922	141.43725	139.61195	143.20925	189.20406	188.24100	190.18805	-0.75599	-0.88219	-0.63120	58.67360	56.97514	60.50288	50.53138	49.54324	51.54561	13.90501	12.36627	15.61122	0
999	500	1	1.74356	163.32081	182.50000	1.23128	52.46256	66.00663	7.00000	2.35920	189.55209	2.97484	215.78337	182.74251	65.87000	179.12415	63.62265	2.20086	5.66000	0.70023	1.06588	188.45470	14.00000	55.45671	14.00000	7.00000	3.50000	2.52336	188.36786	2.20086	164.10481	2.56217	188.50570	2.90108	211.81435	2.14826	2.01244	2.27615	164.24703	162.49690	166.07115	188.01503	187.00795	189.00810	0.79918	0.66388	0.92689	41.58464	39.94275	43.28871	50.42662	49.43751	51.44666	12.51437	11.02118	14.10850	0
998	500	6	-0.77616	191.03775	182.50000	2.01932	54.03863	76.25112	7.00000	0.23350	218.05706	1.24316	245.07638	182.27983	76.91361	183.65528	73.24546	-0.51806	5.66000	1.27290	1.06588	189.29374	14.00000	63.32582	14.00000	7.00000	3.50000	0.19190	218.65786	-0.51806	195.25738	0.00574	222.60298	0.75484	243.93019	-0.47435	-0.61426	-0.33522	193.89969	192.05490	195.77330	188.43918	187.36895	189.49200	1.41009	1.27930	1.54342	42.49230	40.73020	44.27573	58.72456	57.67617	59.78334	14.18482	12.47535	15.99156	0
998	500	5	-3.22907	218.01978	182.50000	0.54450	51.08899	57.07845	7.00000	-2.95682	243.56428	-2.68457	269.10877	182.96182	57.00805	189.11766	55.96256	-3.16716	5.66000	0.67355	1.06588	187.34462	14.00000	47.73192	14.00000	7.00000	3.50000	-2.96566	244.86956	-3.16716	222.02692	-3.04035	247.18863	-2.49361	262.38302	-3.27406	-3.40834	-3.13644	223.31299	221.53188	225.12500	187.46006	186.44500	188.52515	0.69519	0.56848	0.82207	34.41117	32.77861	36.12186	42.02386	41.07784	42.98954	13.46313	12.02579	15.04519	0
998	500	4	-1.56994	199.76938	182.50000	-1.21385	87.57229	74.21991	7.00000	-2.17687	243.55553	-2.78380	287.34168	181.41480	74.13171	184.54067	75.79772	-1.57926	5.66000	-0.89771	1.06588	185.51879	14.00000	62.82932	14.00000	7.00000	3.50000	-2.06580	242.63132	-1.57926	203.99645	-2.07473	243.55637	-2.47698	277.32916	-1.56906	-1.70663	-1.43454	203.94910	202.10573	205.84130	185.59085	184.59470	186.62708	-0.98250	-1.12113	-0.84887	70.05446	68.08297	72.02224	58.55905	57.49877	59.59756	11.45065	9.89016	13.24412	0
998	500	3	0.77361	173.99026	182.50000	-2.06792	85.86416	63.11704	7.00000	-0.26035	216.92234	-1.29431	259.85442	182.73759	62.58619	181.23485	66.49887	0.49484	5.66000	-1.68984	1.06588	186.59251	14.00000	55.57791	14.00000	7.00000	3.50000	-0.28917	217.64792	0.49484	180.96880	-0.11369	216.22201	-1.19499	255.75107	0.60207	0.47529	0.72702	179.55843	177.78198	181.34902	186.40076	185.38400	187.40902	-1.81627	-1.94236	-1.69143	71.10451	69.25398	73.00185	50.46329	49.49248	51.48017	11.06457	9.71837	12.58582	0
998	500	2	5.21937	125.08692	182.50000	-1.51896	86.96208	70.25352	7.00000	4.45989	168.56796	3.70041	212.04900	183.88054	69.83056	173.88222	72.76150	4.84548	5.66000	-0.73957	1.06588	190.02254	14.00000	56.71668	14.00000	7.00000	3.50000	4.45664	167.51066	4.84548	135.03170	4.51045	163.97506	4.10591	200.14171	4.88860	4.75164	5.02142	134.06276	132.25247	135.88702	189.54294	188.50498	190.57600	-0.85598	-0.99062	-0.72452	61.48246	59.55864	63.38067	51.76810	50.74727	52.77147	14.28787	12.65795	15.99851	0
998	500	1	0.85340	173.11259	182.50000	2.10636	54.21271	77.38263	7.00000	1.90658	200.21894	2.95976	227.32530	181.62332	76.75910	180.09230	71.43997	0.95682	5.66000	1.97089	1.06588	188.90932	14.00000	61.70197	14.00000	7.00000	3.50000	1.93544	199.28680	0.95682	179.17018	1.86675	200.00616	2.92771	220.81103	0.94944	0.81406	1.08866	178.50157	176.87092	180.16502	188.16566	187.15892	189.18513	2.09373	1.96486	2.21964	35.47035	33.90930	37.07655	56.78181	55.72385	57.83403	13.10520	11.48145	14.80844	0
997	500	6	-0.75897	190.84866	182.50000	2.11429	54.22859	77.48580	7.00000	0.29818	217.96295	1.35532	245.07724	182.46464	77.14618	183.91271	73.55036	-0.46313	5.66000	1.63225	1.06588	190.88858	14.00000	64.36888	14.00000	7.00000	3.50000	0.40050	217.67675	-0.46313	196.04719	0.07335	220.82201	1.16912	242.23503	-0.46475	-0.60295	-0.32886	195.00474	193.20198	196.75902	189.82806	188.84590	190.81300	1.76055	1.63104	1.89116	40.07077	38.40507	41.82163	59.68089	58.63234	60.73575	13.15203	11.54791	14.96428	0
